Year,SERIES,UNIT_MEASURE,Stepen urbanizacije,Spol,Godine,Value
2011,Veličina siromaštva po spolu nosioca domaćinstva,Procenat,,Muškarci,,15.7
2015,Veličina siromaštva po spolu nosioca domaćinstva,Procenat,,Muškarci,,16.0
2011,Veličina siromaštva po spolu nosioca domaćinstva,Procenat,,Žene,,17.0
2015,Veličina siromaštva po spolu nosioca domaćinstva,Procenat,,Žene,,16.2
2011,Veličina siromaštva po godinama starosti nosioca domaćinstva,Procenat,,,mlađi od 35 godina,12.3
2011,Veličina siromaštva po godinama starosti nosioca domaćinstva,Procenat,,,36 do 45 godine,21.6
2011,Veličina siromaštva po godinama starosti nosioca domaćinstva,Procenat,,,46 do 55 godine,16.8
2011,Veličina siromaštva po godinama starosti nosioca domaćinstva,Procenat,,,56 do 65 godine,15.9
2011,Veličina siromaštva po godinama starosti nosioca domaćinstva,Procenat,,,65 godina i više,24.1
2015,Veličina siromaštva po godinama starosti nosioca domaćinstva,Procenat,,,mlađi od 35 godina,10.6
2015,Veličina siromaštva po godinama starosti nosioca domaćinstva,Procenat,,,36 do 45 godine,18.7
2015,Veličina siromaštva po godinama starosti nosioca domaćinstva,Procenat,,,46 do 55 godine,17.5
2015,Veličina siromaštva po godinama starosti nosioca domaćinstva,Procenat,,,56 do 65 godine,16.8
2015,Veličina siromaštva po godinama starosti nosioca domaćinstva,Procenat,,,65 godina i više,22.4
2011,Relativno siromaštvo domaćinstava po tipu naselja,Procenat,Ruralno,,,8.9
2015,Relativno siromaštvo domaćinstava po tipu naselja,Procenat,Ruralno,,,11.0
2011,Relativno siromaštvo domaćinstava po tipu naselja,Procenat,Ostalo,,,21.9
2015,Relativno siromaštvo domaćinstava po tipu naselja,Procenat,Ostalo,,,20.3
