Year,SERIES,Godine,Kategorije korisnika,Spol,UNIT_MEASURE,Value
2013,Udio korisnika socijalne zaštite/novčane pomoći  u ukupnoj populaciji,,,,Procenat,4.9
2014,Udio korisnika socijalne zaštite/novčane pomoći  u ukupnoj populaciji,,,,Procenat,5.0
2015,Udio korisnika socijalne zaštite/novčane pomoći  u ukupnoj populaciji,,,,Procenat,4.9
2016,Udio korisnika socijalne zaštite/novčane pomoći  u ukupnoj populaciji,,,,Procenat,5.1
2017,Udio korisnika socijalne zaštite/novčane pomoći  u ukupnoj populaciji,,,,Procenat,4.9
2018,Udio korisnika socijalne zaštite/novčane pomoći  u ukupnoj populaciji,,,,Procenat,4.8
2019,Udio korisnika socijalne zaštite/novčane pomoći  u ukupnoj populaciji,,,,Procenat,4.7
2020,Udio korisnika socijalne zaštite/novčane pomoći  u ukupnoj populaciji,,,,Procenat,4.7
2021,Udio korisnika socijalne zaštite/novčane pomoći  u ukupnoj populaciji,,,,Procenat,4.6
2022,Udio korisnika socijalne zaštite/novčane pomoći  u ukupnoj populaciji,,,,Procenat,5.1
2013,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene,,,,Procenat,2.6
2014,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene,,,,Procenat,2.5
2015,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene,,,,Procenat,2.7
2016,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene,,,,Procenat,2.9
2017,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene,,,,Procenat,3.2
2018,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene,,,,Procenat,3.1
2019,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene,,,,Procenat,3.6
2020,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene,,,,Procenat,4.3
2021,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene,,,,Procenat,3.3
2022,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene,,,,Procenat,3.6
2023,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene,,,,Procenat,4.5
2013,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,Ispod 18 godina,,Muškarci,Procenat,39.724
2014,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,Ispod 18 godina,,Muškarci,Procenat,41.589
2015,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,Ispod 18 godina,,Muškarci,Procenat,40.91
2016,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,Ispod 18 godina,,Muškarci,Procenat,42.879
2017,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,Ispod 18 godina,,Muškarci,Procenat,41.978
2018,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,Ispod 18 godina,,Muškarci,Procenat,42.632
2019,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,Ispod 18 godina,,Muškarci,Procenat,41.905
2020,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,Ispod 18 godina,,Muškarci,Procenat,41.242
2021,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,Ispod 18 godina,,Muškarci,Procenat,38.859
2022,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,Ispod 18 godina,,Muškarci,Procenat,38.943
2013,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,18 godina i više,,Muškarci,Procenat,114.513
2014,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,18 godina i više,,Muškarci,Procenat,121.558
2015,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,18 godina i više,,Muškarci,Procenat,119.05
2016,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,18 godina i više,,Muškarci,Procenat,123.733
2017,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,18 godina i više,,Muškarci,Procenat,130.066
2018,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,18 godina i više,,Muškarci,Procenat,135.6
2019,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,18 godina i više,,Muškarci,Procenat,135.695
2020,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,18 godina i više,,Muškarci,Procenat,137.063
2021,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,18 godina i više,,Muškarci,Procenat,138.055
2022,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,18 godina i više,,Muškarci,Procenat,131.873
2013,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,Ispod 18 godina,,Žene,Procenat,34.816
2014,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,Ispod 18 godina,,Žene,Procenat,37.123
2015,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,Ispod 18 godina,,Žene,Procenat,35.725
2016,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,Ispod 18 godina,,Žene,Procenat,35.626
2017,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,Ispod 18 godina,,Žene,Procenat,35.14
2018,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,Ispod 18 godina,,Žene,Procenat,36.268
2019,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,Ispod 18 godina,,Žene,Procenat,35.827
2020,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,Ispod 18 godina,,Žene,Procenat,35.44
2021,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,Ispod 18 godina,,Žene,Procenat,34.416
2022,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,Ispod 18 godina,,Žene,Procenat,35.677
2013,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,18 godina i više,,Žene,Procenat,119.813
2014,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,18 godina i više,,Žene,Procenat,132.081
2015,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,18 godina i više,,Žene,Procenat,124.415
2016,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,18 godina i više,,Žene,Procenat,133.755
2017,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,18 godina i više,,Žene,Procenat,122.188
2018,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,18 godina i više,,Žene,Procenat,127.329
2019,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,18 godina i više,,Žene,Procenat,123.576
2020,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,18 godina i više,,Žene,Procenat,135.778
2021,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,18 godina i više,,Žene,Procenat,133.0
2022,Broj punoljetnih i maloljetnih korisnika svih oblika socijalne zaštite po spolu,18 godina i više,,Žene,Procenat,135.627
2013,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Novčane pomoći,,,47.466
2014,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Novčane pomoći,,,45.683
2015,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Novčane pomoći,,,45.697
2016,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Novčane pomoći,,,48.709
2017,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Novčane pomoći,,,47.301
2018,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Novčane pomoći,,,44.442
2019,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Novčane pomoći,,,43.176
2020,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Novčane pomoći,,,46.177
2021,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Novčane pomoći,,,44.088
2022,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Novčane pomoći,,,51.774
2013,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,16.742
2014,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,18.477
2015,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,16.312
2016,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,17.156
2017,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,17.263
2018,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,17.037
2019,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,15.69
2020,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,15.222
2021,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,14.117
2022,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,15.448
2013,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Pomoć u rješavanju stambenog pitanja,,,326.0
