Year,SERIES,UNIT_MEASURE,Value
2013.0,Ukupni tokovi direktnih stranih ulaganja,Milioni konvertibilnih maraka,236.3
2014.0,Ukupni tokovi direktnih stranih ulaganja,Milioni konvertibilnih maraka,405.3
2015.0,Ukupni tokovi direktnih stranih ulaganja,Milioni konvertibilnih maraka,484.9
2016.0,Ukupni tokovi direktnih stranih ulaganja,Milioni konvertibilnih maraka,520.2
2017.0,Ukupni tokovi direktnih stranih ulaganja,Milioni konvertibilnih maraka,581.3
2018.0,Ukupni tokovi direktnih stranih ulaganja,Milioni konvertibilnih maraka,574.6
2019.0,Ukupni tokovi direktnih stranih ulaganja,Milioni konvertibilnih maraka,397.7
2020.0,Ukupni tokovi direktnih stranih ulaganja,Milioni konvertibilnih maraka,514.4
2021.0,Ukupni tokovi direktnih stranih ulaganja,Milioni konvertibilnih maraka,930.1
2022.0,Ukupni tokovi direktnih stranih ulaganja,Milioni konvertibilnih maraka,1001.2
2013.0,Ukupno stanje direktnih stranih ulaganja na dan 31.12,Milioni konvertibilnih maraka,6690.0
2014.0,Ukupno stanje direktnih stranih ulaganja na dan 31.12,Milioni konvertibilnih maraka,6984.3
2015.0,Ukupno stanje direktnih stranih ulaganja na dan 31.12,Milioni konvertibilnih maraka,7205.1
2016.0,Ukupno stanje direktnih stranih ulaganja na dan 31.12,Milioni konvertibilnih maraka,7758.2
2017.0,Ukupno stanje direktnih stranih ulaganja na dan 31.12,Milioni konvertibilnih maraka,8354.2
2018.0,Ukupno stanje direktnih stranih ulaganja na dan 31.12,Milioni konvertibilnih maraka,8921.6
2019.0,Ukupno stanje direktnih stranih ulaganja na dan 31.12,Milioni konvertibilnih maraka,9351.6
2020.0,Ukupno stanje direktnih stranih ulaganja na dan 31.12,Milioni konvertibilnih maraka,9934.4
2021.0,Ukupno stanje direktnih stranih ulaganja na dan 31.12,Milioni konvertibilnih maraka,10871.0
2022.0,Ukupno stanje direktnih stranih ulaganja na dan 31.12,Milioni konvertibilnih maraka,11256.4
,,,
,,,
