Year,SERIES,UNIT_MEASURE,Podjela,Spol,Value
2020.0,"Broj krivičnih djela i broj žrtava krivičnih djela trgovine ljudima, prema spolu i obliku eksploatacije",Broj,Ukupan broj krivičnih djela,,10.0
2021.0,"Broj krivičnih djela i broj žrtava krivičnih djela trgovine ljudima, prema spolu i obliku eksploatacije",Broj,Ukupan broj krivičnih djela,,1.0
2022.0,"Broj krivičnih djela i broj žrtava krivičnih djela trgovine ljudima, prema spolu i obliku eksploatacije",Broj,Ukupan broj krivičnih djela,,3.0
2023.0,"Broj krivičnih djela i broj žrtava krivičnih djela trgovine ljudima, prema spolu i obliku eksploatacije",Broj,Ukupan broj krivičnih djela,,1.0
2020.0,"Broj krivičnih djela i broj žrtava krivičnih djela trgovine ljudima, prema spolu i obliku eksploatacije",Broj,Trgovina ljudima čl.210a KZFBiH,,1.0
2021.0,"Broj krivičnih djela i broj žrtava krivičnih djela trgovine ljudima, prema spolu i obliku eksploatacije",Broj,Trgovina ljudima čl.210a KZFBiH,,1.0
2022.0,"Broj krivičnih djela i broj žrtava krivičnih djela trgovine ljudima, prema spolu i obliku eksploatacije",Broj,Trgovina ljudima čl.210a KZFBiH,,3.0
2023.0,"Broj krivičnih djela i broj žrtava krivičnih djela trgovine ljudima, prema spolu i obliku eksploatacije",Broj,Trgovina ljudima čl.210a KZFBiH,,1.0
2020.0,"Broj krivičnih djela i broj žrtava krivičnih djela trgovine ljudima, prema spolu i obliku eksploatacije",Broj,Organizovana trgovina ljudima čl.210b KZFBIH,,9.0
2021.0,"Broj krivičnih djela i broj žrtava krivičnih djela trgovine ljudima, prema spolu i obliku eksploatacije",Broj,Organizovana trgovina ljudima čl.210b KZFBIH,,0.0
2022.0,"Broj krivičnih djela i broj žrtava krivičnih djela trgovine ljudima, prema spolu i obliku eksploatacije",Broj,Organizovana trgovina ljudima čl.210b KZFBIH,,0.0
2023.0,"Broj krivičnih djela i broj žrtava krivičnih djela trgovine ljudima, prema spolu i obliku eksploatacije",Broj,Organizovana trgovina ljudima čl.210b KZFBIH,,0.0
2020.0,"Broj krivičnih djela i broj žrtava krivičnih djela trgovine ljudima, prema spolu i obliku eksploatacije",Broj,Ukupan broj žrtava,,6.0
2021.0,"Broj krivičnih djela i broj žrtava krivičnih djela trgovine ljudima, prema spolu i obliku eksploatacije",Broj,Ukupan broj žrtava,,0.0
2022.0,"Broj krivičnih djela i broj žrtava krivičnih djela trgovine ljudima, prema spolu i obliku eksploatacije",Broj,Ukupan broj žrtava,,0.0
2023.0,"Broj krivičnih djela i broj žrtava krivičnih djela trgovine ljudima, prema spolu i obliku eksploatacije",Broj,Ukupan broj žrtava,,1.0
2020.0,"Broj krivičnih djela i broj žrtava krivičnih djela trgovine ljudima, prema spolu i obliku eksploatacije",Broj,Ukupan broj žrtava,Muškarci,3.0
2021.0,"Broj krivičnih djela i broj žrtava krivičnih djela trgovine ljudima, prema spolu i obliku eksploatacije",Broj,Ukupan broj žrtava,Muškarci,0.0
2022.0,"Broj krivičnih djela i broj žrtava krivičnih djela trgovine ljudima, prema spolu i obliku eksploatacije",Broj,Ukupan broj žrtava,Muškarci,0.0
2023.0,"Broj krivičnih djela i broj žrtava krivičnih djela trgovine ljudima, prema spolu i obliku eksploatacije",Broj,Ukupan broj žrtava,Muškarci,0.0
2020.0,"Broj krivičnih djela i broj žrtava krivičnih djela trgovine ljudima, prema spolu i obliku eksploatacije",Broj,Ukupan broj žrtava,Žene,3.0
2021.0,"Broj krivičnih djela i broj žrtava krivičnih djela trgovine ljudima, prema spolu i obliku eksploatacije",Broj,Ukupan broj žrtava,Žene,0.0
2022.0,"Broj krivičnih djela i broj žrtava krivičnih djela trgovine ljudima, prema spolu i obliku eksploatacije",Broj,Ukupan broj žrtava,Žene,0.0
2023.0,"Broj krivičnih djela i broj žrtava krivičnih djela trgovine ljudima, prema spolu i obliku eksploatacije",Broj,Ukupan broj žrtava,Žene,1.0
,,,,,
,,,,,
