Year,SERIES,UNIT_MEASURE,Spol,Value
2013.0,Stopa smrtnosti majki,Na 100 000 živorođenih,,0.0
2014.0,Stopa smrtnosti majki,Na 100 000 živorođenih,,0.0
2015.0,Stopa smrtnosti majki,Na 100 000 živorođenih,,0.0
2016.0,Stopa smrtnosti majki,Na 100 000 živorođenih,,0.0
2017.0,Stopa smrtnosti majki,Na 100 000 živorođenih,,0.0
2018.0,Stopa smrtnosti majki,Na 100 000 živorođenih,,0.0
2019.0,Stopa smrtnosti majki,Na 100 000 živorođenih,,11.1
2020.0,Stopa smrtnosti majki,Na 100 000 živorođenih,,5.8
2021.0,Stopa smrtnosti majki,Na 100 000 živorođenih,,5.9
2022.0,Stopa smrtnosti majki,Na 100 000 živorođenih,,24.2
,,,,
