Year,SERIES,UNIT_MEASURE,Godine,Spol,Value
2013.0,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola ili bez podjele po spolu,5.6
2014.0,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola ili bez podjele po spolu,4.2
2015.0,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola ili bez podjele po spolu,6.3
2016.0,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola ili bez podjele po spolu,6.1
2017.0,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola ili bez podjele po spolu,6.5
2018.0,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola ili bez podjele po spolu,6.3
2019.0,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola ili bez podjele po spolu,6.7
2020.0,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola ili bez podjele po spolu,4.9
2021.0,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola ili bez podjele po spolu,4.9
2022.0,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola ili bez podjele po spolu,5.3
2013.0,Očekivano trajanje života po spolu,,,Oba spola ili bez podjele po spolu,76.24
2014.0,Očekivano trajanje života po spolu,,,Oba spola ili bez podjele po spolu,76.68
2015.0,Očekivano trajanje života po spolu,,,Oba spola ili bez podjele po spolu,76.2
2016.0,Očekivano trajanje života po spolu,,,Oba spola ili bez podjele po spolu,76.74
2017.0,Očekivano trajanje života po spolu,,,Oba spola ili bez podjele po spolu,76.76
2018.0,Očekivano trajanje života po spolu,,,Oba spola ili bez podjele po spolu,77.25
2019.0,Očekivano trajanje života po spolu,,,Oba spola ili bez podjele po spolu,77.13
2020.0,Očekivano trajanje života po spolu,,,Oba spola ili bez podjele po spolu,75.75
2021.0,Očekivano trajanje života po spolu,,,Oba spola ili bez podjele po spolu,74.78
2022.0,Očekivano trajanje života po spolu,,,Oba spola ili bez podjele po spolu,77.42
2013.0,Očekivano trajanje života po spolu,,,Muškarci,73.9
2014.0,Očekivano trajanje života po spolu,,,Muškarci,74.36
2015.0,Očekivano trajanje života po spolu,,,Muškarci,73.97
2016.0,Očekivano trajanje života po spolu,,,Muškarci,74.57
2017.0,Očekivano trajanje života po spolu,,,Muškarci,74.5
2018.0,Očekivano trajanje života po spolu,,,Muškarci,75.14
2019.0,Očekivano trajanje života po spolu,,,Muškarci,74.93
2020.0,Očekivano trajanje života po spolu,,,Muškarci,73.15
2021.0,Očekivano trajanje života po spolu,,,Muškarci,72.38
2022.0,Očekivano trajanje života po spolu,,,Muškarci,75.19
2013.0,Očekivano trajanje života po spolu,,,Žene,78.48
2014.0,Očekivano trajanje života po spolu,,,Žene,78.89
2015.0,Očekivano trajanje života po spolu,,,Žene,78.34
2016.0,Očekivano trajanje života po spolu,,,Žene,78.83
2017.0,Očekivano trajanje života po spolu,,,Žene,78.94
2018.0,Očekivano trajanje života po spolu,,,Žene,79.27
2019.0,Očekivano trajanje života po spolu,,,Žene,79.25
2020.0,Očekivano trajanje života po spolu,,,Žene,78.35
2021.0,Očekivano trajanje života po spolu,,,Žene,77.18
2022.0,Očekivano trajanje života po spolu,,,Žene,79.58
,,,,,
