Year,SERIES,UNIT_MEASURE,Value
2013.0,Učestalost tuberkuloze (na 100.000 stanovnika),Na 100 000 stanovnika,4.2
2014.0,Učestalost tuberkuloze (na 100.000 stanovnika),Na 100 000 stanovnika,3.7
2015.0,Učestalost tuberkuloze (na 100.000 stanovnika),Na 100 000 stanovnika,4.3
2016.0,Učestalost tuberkuloze (na 100.000 stanovnika),Na 100 000 stanovnika,3.1
2017.0,Učestalost tuberkuloze (na 100.000 stanovnika),Na 100 000 stanovnika,2.3
2018.0,Učestalost tuberkuloze (na 100.000 stanovnika),Na 100 000 stanovnika,2.2
2019.0,Učestalost tuberkuloze (na 100.000 stanovnika),Na 100 000 stanovnika,2.4
2020.0,Učestalost tuberkuloze (na 100.000 stanovnika),Na 100 000 stanovnika,1.7
2021.0,Učestalost tuberkuloze (na 100.000 stanovnika),Na 100 000 stanovnika,1.0
2022.0,Učestalost tuberkuloze (na 100.000 stanovnika),Na 100 000 stanovnika,1.4
,,,
