Year,SERIES,UNIT_MEASURE,Zanimanje,Value
2017.0,Gustina zdravstvenih radnika prema vrsti zanimanja,Na 100 000 stanovnika,Medicinski tehničari,600.0
2018.0,Gustina zdravstvenih radnika prema vrsti zanimanja,Na 100 000 stanovnika,Medicinski tehničari,611.0
2019.0,Gustina zdravstvenih radnika prema vrsti zanimanja,Na 100 000 stanovnika,Medicinski tehničari,617.0
2017.0,Gustina zdravstvenih radnika prema vrsti zanimanja,Na 100 000 stanovnika,Doktori medicine,219.0
2018.0,Gustina zdravstvenih radnika prema vrsti zanimanja,Na 100 000 stanovnika,Doktori medicine,224.0
2019.0,Gustina zdravstvenih radnika prema vrsti zanimanja,Na 100 000 stanovnika,Doktori medicine,233.0
2017.0,Gustina zdravstvenih radnika prema vrsti zanimanja,Na 100 000 stanovnika,Doktori stomatologije,27.0
2018.0,Gustina zdravstvenih radnika prema vrsti zanimanja,Na 100 000 stanovnika,Doktori stomatologije,27.0
2019.0,Gustina zdravstvenih radnika prema vrsti zanimanja,Na 100 000 stanovnika,Doktori stomatologije,28.0
2017.0,Gustina zdravstvenih radnika prema vrsti zanimanja,Na 100 000 stanovnika,Magistri farmacije,15.0
2018.0,Gustina zdravstvenih radnika prema vrsti zanimanja,Na 100 000 stanovnika,Magistri farmacije,17.0
2019.0,Gustina zdravstvenih radnika prema vrsti zanimanja,Na 100 000 stanovnika,Magistri farmacije,16.0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
