Year,SERIES,UNIT_MEASURE,Spol,Godine,Nivo obrazovanja,Value
2013.0,Stanovništvo staro 15 i više godina prema najvišoj završenoj školi i spolu,Procenat,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,Bez ikakvog obrazovanja,4.4
2013.0,Stanovništvo staro 15 i više godina prema najvišoj završenoj školi i spolu,Procenat,Muškarci,Svi dobni rasponi ili nema podjele po godinama,Bez ikakvog obrazovanja,1.5
2013.0,Stanovništvo staro 15 i više godina prema najvišoj završenoj školi i spolu,Procenat,Žene,Svi dobni rasponi ili nema podjele po godinama,Bez ikakvog obrazovanja,7.2
2013.0,Stanovništvo staro 15 i više godina prema najvišoj završenoj školi i spolu,Procenat,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,Nepotpuno osnovno obrazovanje,9.0
2013.0,Stanovništvo staro 15 i više godina prema najvišoj završenoj školi i spolu,Procenat,Muškarci,Svi dobni rasponi ili nema podjele po godinama,Nepotpuno osnovno obrazovanje,5.1
2013.0,Stanovništvo staro 15 i više godina prema najvišoj završenoj školi i spolu,Procenat,Žene,Svi dobni rasponi ili nema podjele po godinama,Nepotpuno osnovno obrazovanje,12.7
2013.0,Stanovništvo staro 15 i više godina prema najvišoj završenoj školi i spolu,Procenat,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,Osnovno obrazovanje,21.5
2013.0,Stanovništvo staro 15 i više godina prema najvišoj završenoj školi i spolu,Procenat,Muškarci,Svi dobni rasponi ili nema podjele po godinama,Osnovno obrazovanje,18.4
2013.0,Stanovništvo staro 15 i više godina prema najvišoj završenoj školi i spolu,Procenat,Žene,Svi dobni rasponi ili nema podjele po godinama,Osnovno obrazovanje,24.6
2013.0,Stanovništvo staro 15 i više godina prema najvišoj završenoj školi i spolu,Procenat,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,Srednje obrazovanje,51.1
2013.0,Stanovništvo staro 15 i više godina prema najvišoj završenoj školi i spolu,Procenat,Muškarci,Svi dobni rasponi ili nema podjele po godinama,Srednje obrazovanje,60.5
2013.0,Stanovništvo staro 15 i više godina prema najvišoj završenoj školi i spolu,Procenat,Žene,Svi dobni rasponi ili nema podjele po godinama,Srednje obrazovanje,42.3
2013.0,Stanovništvo staro 15 i više godina prema najvišoj završenoj školi i spolu,Procenat,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,Visoka škola/ fakultet/akademija/ univerzitet,10.1
2013.0,Stanovništvo staro 15 i više godina prema najvišoj završenoj školi i spolu,Procenat,Muškarci,Svi dobni rasponi ili nema podjele po godinama,Visoka škola/ fakultet/akademija/ univerzitet,9.9
2013.0,Stanovništvo staro 15 i više godina prema najvišoj završenoj školi i spolu,Procenat,Žene,Svi dobni rasponi ili nema podjele po godinama,Visoka škola/ fakultet/akademija/ univerzitet,10.3
2013.0,Stanovništvo staro 15 i više godina prema najvišoj završenoj školi i spolu,Procenat,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,Specijalizacija poslije srednje škole,0.7
2013.0,Stanovništvo staro 15 i više godina prema najvišoj završenoj školi i spolu,Procenat,Muškarci,Svi dobni rasponi ili nema podjele po godinama,Specijalizacija poslije srednje škole,1.2
2013.0,Stanovništvo staro 15 i više godina prema najvišoj završenoj školi i spolu,Procenat,Žene,Svi dobni rasponi ili nema podjele po godinama,Specijalizacija poslije srednje škole,0.2
2013.0,Stanovništvo staro 15 i više godina prema najvišoj završenoj školi i spolu,Procenat,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,Viša škola i prvi stepen fakulteta,3.0
2013.0,Stanovništvo staro 15 i više godina prema najvišoj završenoj školi i spolu,Procenat,Muškarci,Svi dobni rasponi ili nema podjele po godinama,Viša škola i prvi stepen fakulteta,3.4
2013.0,Stanovništvo staro 15 i više godina prema najvišoj završenoj školi i spolu,Procenat,Žene,Svi dobni rasponi ili nema podjele po godinama,Viša škola i prvi stepen fakulteta,2.7
2013.0,Stanovništvo sa završenom visokom školom/fakultetskom/akademskom po starosti i spolu,Procenat,Oba spola ili bez podjele po spolu,Svi dobni rasponi ili nema podjele po godinama,,10.8
2013.0,Stanovništvo sa završenom visokom školom/fakultetskom/akademskom po starosti i spolu,Procenat,Muškarci,Svi dobni rasponi ili nema podjele po godinama,,10.6
2013.0,Stanovništvo sa završenom visokom školom/fakultetskom/akademskom po starosti i spolu,Procenat,Žene,Svi dobni rasponi ili nema podjele po godinama,,11.0
2013.0,Stanovništvo sa završenom visokom školom/fakultetskom/akademskom po starosti i spolu,Procenat,Oba spola ili bez podjele po spolu,20 do 29 godine,,20.0
2013.0,Stanovništvo sa završenom visokom školom/fakultetskom/akademskom po starosti i spolu,Procenat,Muškarci,20 do 29 godine,,15.0
2013.0,Stanovništvo sa završenom visokom školom/fakultetskom/akademskom po starosti i spolu,Procenat,Žene,20 do 29 godine,,25.2
2013.0,Stanovništvo sa završenom visokom školom/fakultetskom/akademskom po starosti i spolu,Procenat,Oba spola ili bez podjele po spolu,30 do 39 godine,,16.5
2013.0,Stanovništvo sa završenom visokom školom/fakultetskom/akademskom po starosti i spolu,Procenat,Muškarci,30 do 39 godine,,14.0
2013.0,Stanovništvo sa završenom visokom školom/fakultetskom/akademskom po starosti i spolu,Procenat,Žene,30 do 39 godine,,19.1
2013.0,Stanovništvo sa završenom visokom školom/fakultetskom/akademskom po starosti i spolu,Procenat,Oba spola ili bez podjele po spolu,40 do 49 godine,,9.1
2013.0,Stanovništvo sa završenom visokom školom/fakultetskom/akademskom po starosti i spolu,Procenat,Muškarci,40 do 49 godine,,9.1
2013.0,Stanovništvo sa završenom visokom školom/fakultetskom/akademskom po starosti i spolu,Procenat,Žene,40 do 49 godine,,9.1
2013.0,Stanovništvo sa završenom visokom školom/fakultetskom/akademskom po starosti i spolu,Procenat,Oba spola ili bez podjele po spolu,50 do 59 godine,,9.2
2013.0,Stanovništvo sa završenom visokom školom/fakultetskom/akademskom po starosti i spolu,Procenat,Muškarci,50 do 59 godine,,10.8
2013.0,Stanovništvo sa završenom visokom školom/fakultetskom/akademskom po starosti i spolu,Procenat,Žene,50 do 59 godine,,7.6
2013.0,Stanovništvo sa završenom visokom školom/fakultetskom/akademskom po starosti i spolu,Procenat,Oba spola ili bez podjele po spolu,60 do 69 godine,,5.0
2013.0,Stanovništvo sa završenom visokom školom/fakultetskom/akademskom po starosti i spolu,Procenat,Muškarci,60 do 69 godine,,6.6
2013.0,Stanovništvo sa završenom visokom školom/fakultetskom/akademskom po starosti i spolu,Procenat,Žene,60 do 69 godine,,3.5
