Year,UNIT_MEASURE,SERIES,Godine,Spol,Value
2013.0,Procenat,Razlika u zaposlenosti muškaraca i žena,20 do 64 godine,,22.6
2014.0,Procenat,Razlika u zaposlenosti muškaraca i žena,20 do 64 godine,,24.3
2015.0,Procenat,Razlika u zaposlenosti muškaraca i žena,20 do 64 godine,,22.1
2016.0,Procenat,Razlika u zaposlenosti muškaraca i žena,20 do 64 godine,,25.3
2017.0,Procenat,Razlika u zaposlenosti muškaraca i žena,20 do 64 godine,,23.6
2018.0,Procenat,Razlika u zaposlenosti muškaraca i žena,20 do 64 godine,,25.3
2019.0,Procenat,Razlika u zaposlenosti muškaraca i žena,20 do 64 godine,,24.9
2020.0,Procenat,Razlika u zaposlenosti muškaraca i žena,20 do 64 godine,,29.9
2021.0,Procenat,Razlika u zaposlenosti muškaraca i žena,20 do 64 godine,,31.3
2022.0,Procenat,Razlika u zaposlenosti muškaraca i žena,20 do 64 godine,,30.4
2020.0,Procenat,Prosječne mjesečne isplaćene neto plaće zaposlenih u pravnim osobama po spolu,,Muškarci,938.0
2021.0,Procenat,Prosječne mjesečne isplaćene neto plaće zaposlenih u pravnim osobama po spolu,,Muškarci,1001.0
2020.0,Procenat,Prosječne mjesečne isplaćene neto plaće zaposlenih u pravnim osobama po spolu,,Žene,938.0
2021.0,Procenat,Prosječne mjesečne isplaćene neto plaće zaposlenih u pravnim osobama po spolu,,Žene,985.0
,,,,,
