Year,SERIES,UNIT_MEASURE,Stepen urbanizacije,Value
2011,Tekuća voda u stambenoj jedinici i iz pojedinačnog izvora,Procenat,Grad,99.3
2015,Tekuća voda u stambenoj jedinici i iz pojedinačnog izvora,Procenat,Grad,99.9
2011,Tekuća voda u stambenoj jedinici i iz pojedinačnog izvora,Procenat,Ostalo,98.3
2015,Tekuća voda u stambenoj jedinici i iz pojedinačnog izvora,Procenat,Ostalo,99.6
2011,Tekuća voda u stambenoj jedinici i iz pojedinačnog izvora,Procenat,Ukupno,98.8
2015,Tekuća voda u stambenoj jedinici i iz pojedinačnog izvora,Procenat,Ukupno,99.7
2021/22,Tekuća voda u stambenoj jedinici i iz pojedinačnog izvora,Procenat,Grad,100.0
2021/22,Tekuća voda u stambenoj jedinici i iz pojedinačnog izvora,Procenat,Ostalo,99.6
2021/22,Tekuća voda u stambenoj jedinici i iz pojedinačnog izvora,Procenat,Ukupno,99.8
,,,,
