Year,SERIES,UNIT_MEASURE,Vrsta tretmana otpada,Value
2013.0,Prečišćene otpadne komunalne vode (hilj./tis.m3),(hilj./tis.m3),,2.871
2014.0,Prečišćene otpadne komunalne vode (hilj./tis.m3),(hilj./tis.m3),,2.844
2015.0,Prečišćene otpadne komunalne vode (hilj./tis.m3),(hilj./tis.m3),,3.424
2016.0,Prečišćene otpadne komunalne vode (hilj./tis.m3),(hilj./tis.m3),,52.823
2017.0,Prečišćene otpadne komunalne vode (hilj./tis.m3),(hilj./tis.m3),,52.438
2018.0,Prečišćene otpadne komunalne vode (hilj./tis.m3),(hilj./tis.m3),,51.214
2019.0,Prečišćene otpadne komunalne vode (hilj./tis.m3),(hilj./tis.m3),,54.04
2020.0,Prečišćene otpadne komunalne vode (hilj./tis.m3),(hilj./tis.m3),,48.613
2021.0,Prečišćene otpadne komunalne vode (hilj./tis.m3),(hilj./tis.m3),,35.982
2013.0,Procenat prečišćenih i neprečišćenih otpadnih komunalnih voda,Procenat,Prečišćene,4.5
2014.0,Procenat prečišćenih i neprečišćenih otpadnih komunalnih voda,Procenat,Prečišćene,4.7
2015.0,Procenat prečišćenih i neprečišćenih otpadnih komunalnih voda,Procenat,Prečišćene,5.5
2016.0,Procenat prečišćenih i neprečišćenih otpadnih komunalnih voda,Procenat,Prečišćene,56.2
2017.0,Procenat prečišćenih i neprečišćenih otpadnih komunalnih voda,Procenat,Prečišćene,55.4
2018.0,Procenat prečišćenih i neprečišćenih otpadnih komunalnih voda,Procenat,Prečišćene,57.3
2019.0,Procenat prečišćenih i neprečišćenih otpadnih komunalnih voda,Procenat,Prečišćene,59.9
2020.0,Procenat prečišćenih i neprečišćenih otpadnih komunalnih voda,Procenat,Prečišćene,55.8
2021.0,Procenat prečišćenih i neprečišćenih otpadnih komunalnih voda,Procenat,Prečišćene,49.0
2013.0,Procenat prečišćenih i neprečišćenih otpadnih komunalnih voda,Procenat,Neprečišćene,95.5
2014.0,Procenat prečišćenih i neprečišćenih otpadnih komunalnih voda,Procenat,Neprečišćene,95.3
2015.0,Procenat prečišćenih i neprečišćenih otpadnih komunalnih voda,Procenat,Neprečišćene,94.5
2016.0,Procenat prečišćenih i neprečišćenih otpadnih komunalnih voda,Procenat,Neprečišćene,43.8
2017.0,Procenat prečišćenih i neprečišćenih otpadnih komunalnih voda,Procenat,Neprečišćene,44.6
2018.0,Procenat prečišćenih i neprečišćenih otpadnih komunalnih voda,Procenat,Neprečišćene,42.7
2019.0,Procenat prečišćenih i neprečišćenih otpadnih komunalnih voda,Procenat,Neprečišćene,40.1
2020.0,Procenat prečišćenih i neprečišćenih otpadnih komunalnih voda,Procenat,Neprečišćene,44.2
2021.0,Procenat prečišćenih i neprečišćenih otpadnih komunalnih voda,Procenat,Neprečišćene,51.0
,,,,
,,,,
