Year,SERIES,Value
2013.0,"Realni bruto domaći proizvod po stanovniku, lančano povezane vrijednosti u cijenama 2015",8.052
2014.0,"Realni bruto domaći proizvod po stanovniku, lančano povezane vrijednosti u cijenama 2015",8.181
2015.0,"Realni bruto domaći proizvod po stanovniku, lančano povezane vrijednosti u cijenama 2015",8.452
2016.0,"Realni bruto domaći proizvod po stanovniku, lančano povezane vrijednosti u cijenama 2015",8.721
2017.0,"Realni bruto domaći proizvod po stanovniku, lančano povezane vrijednosti u cijenama 2015",9.023
2018.0,"Realni bruto domaći proizvod po stanovniku, lančano povezane vrijednosti u cijenama 2015",9.386
2019.0,"Realni bruto domaći proizvod po stanovniku, lančano povezane vrijednosti u cijenama 2015",9.679
2020.0,"Realni bruto domaći proizvod po stanovniku, lančano povezane vrijednosti u cijenama 2015",9.357
2021.0,"Realni bruto domaći proizvod po stanovniku, lančano povezane vrijednosti u cijenama 2015",10.194
2022.0,"Realni bruto domaći proizvod po stanovniku, lančano povezane vrijednosti u cijenama 2015",10.675
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
