Year,SERIES,UNIT_MEASURE,Spol,Stepen urbanizacije,Value
2013.0,"Udio bruto dodane vrijednosti djelatnosti I- Djelatnost pružanja smještaja, te priprema i usluživanje hrane u BDP-u",Procenat,,,2.3
2014.0,"Udio bruto dodane vrijednosti djelatnosti I- Djelatnost pružanja smještaja, te priprema i usluživanje hrane u BDP-u",Procenat,,,2.3
2015.0,"Udio bruto dodane vrijednosti djelatnosti I- Djelatnost pružanja smještaja, te priprema i usluživanje hrane u BDP-u",Procenat,,,2.2
2016.0,"Udio bruto dodane vrijednosti djelatnosti I- Djelatnost pružanja smještaja, te priprema i usluživanje hrane u BDP-u",Procenat,,,2.2
2017.0,"Udio bruto dodane vrijednosti djelatnosti I- Djelatnost pružanja smještaja, te priprema i usluživanje hrane u BDP-u",Procenat,,,2.3
2018.0,"Udio bruto dodane vrijednosti djelatnosti I- Djelatnost pružanja smještaja, te priprema i usluživanje hrane u BDP-u",Procenat,,,2.2
2019.0,"Udio bruto dodane vrijednosti djelatnosti I- Djelatnost pružanja smještaja, te priprema i usluživanje hrane u BDP-u",Procenat,,,2.3
2020.0,"Udio bruto dodane vrijednosti djelatnosti I- Djelatnost pružanja smještaja, te priprema i usluživanje hrane u BDP-u",Procenat,,,1.7
2021.0,"Udio bruto dodane vrijednosti djelatnosti I- Djelatnost pružanja smještaja, te priprema i usluživanje hrane u BDP-u",Procenat,,,1.9
2013.0,Dolasci  turista  u hilj./tis.,Hiljade,,Ukupno,577.0
2014.0,Dolasci  turista  u hilj./tis.,Hiljade,,Ukupno,576.0
2015.0,Dolasci  turista  u hilj./tis.,Hiljade,,Ukupno,723.0
2016.0,Dolasci  turista  u hilj./tis.,Hiljade,,Ukupno,812.0
2017.0,Dolasci  turista  u hilj./tis.,Hiljade,,Ukupno,949.0
2018.0,Dolasci  turista  u hilj./tis.,Hiljade,,Ukupno,1.071
2019.0,Dolasci  turista  u hilj./tis.,Hiljade,,Ukupno,1.227
2020.0,Dolasci  turista  u hilj./tis.,Hiljade,,Ukupno,306.0
2021.0,Dolasci  turista  u hilj./tis.,Hiljade,,Ukupno,667.0
2022.0,Dolasci  turista  u hilj./tis.,Hiljade,,Ukupno,1.024
