Year,SERIES,Podjela,Value
2013.0,Prevoz putnika i robe po granama saobraćaja,"Prevezeni putnici u željezničkom i cestovnom prijevozu, ukupno hilj.",20.424
2014.0,Prevoz putnika i robe po granama saobraćaja,"Prevezeni putnici u željezničkom i cestovnom prijevozu, ukupno hilj.",12.36
2015.0,Prevoz putnika i robe po granama saobraćaja,"Prevezeni putnici u željezničkom i cestovnom prijevozu, ukupno hilj.",11.309
2016.0,Prevoz putnika i robe po granama saobraćaja,"Prevezeni putnici u željezničkom i cestovnom prijevozu, ukupno hilj.",10.81
2017.0,Prevoz putnika i robe po granama saobraćaja,"Prevezeni putnici u željezničkom i cestovnom prijevozu, ukupno hilj.",9.835
2018.0,Prevoz putnika i robe po granama saobraćaja,"Prevezeni putnici u željezničkom i cestovnom prijevozu, ukupno hilj.",8.645
2019.0,Prevoz putnika i robe po granama saobraćaja,"Prevezeni putnici u željezničkom i cestovnom prijevozu, ukupno hilj.",8.17
2020.0,Prevoz putnika i robe po granama saobraćaja,"Prevezeni putnici u željezničkom i cestovnom prijevozu, ukupno hilj.",4.242
2021.0,Prevoz putnika i robe po granama saobraćaja,"Prevezeni putnici u željezničkom i cestovnom prijevozu, ukupno hilj.",5.631
2022.0,Prevoz putnika i robe po granama saobraćaja,"Prevezeni putnici u željezničkom i cestovnom prijevozu, ukupno hilj.",6.591
2023.0,Prevoz putnika i robe po granama saobraćaja,"Prevezeni putnici u željezničkom i cestovnom prijevozu, ukupno hilj.",6.426
2013.0,Prevoz putnika i robe po granama saobraćaja,"Putnički kilometri, ukupno mil.",1.304
2014.0,Prevoz putnika i robe po granama saobraćaja,"Putnički kilometri, ukupno mil.",1.249
2015.0,Prevoz putnika i robe po granama saobraćaja,"Putnički kilometri, ukupno mil.",1.313
2016.0,Prevoz putnika i robe po granama saobraćaja,"Putnički kilometri, ukupno mil.",1.339
2017.0,Prevoz putnika i robe po granama saobraćaja,"Putnički kilometri, ukupno mil.",1.267
2018.0,Prevoz putnika i robe po granama saobraćaja,"Putnički kilometri, ukupno mil.",1.352
2019.0,Prevoz putnika i robe po granama saobraćaja,"Putnički kilometri, ukupno mil.",1.43
2020.0,Prevoz putnika i robe po granama saobraćaja,"Putnički kilometri, ukupno mil.",545.0
2021.0,Prevoz putnika i robe po granama saobraćaja,"Putnički kilometri, ukupno mil.",728.0
2022.0,Prevoz putnika i robe po granama saobraćaja,"Putnički kilometri, ukupno mil.",1.048
2023.0,Prevoz putnika i robe po granama saobraćaja,"Putnički kilometri, ukupno mil.",1.096
2013.0,Prevoz putnika i robe po granama saobraćaja,"Prevezena roba, ukupno hilj. tona",12.332
2014.0,Prevoz putnika i robe po granama saobraćaja,"Prevezena roba, ukupno hilj. tona",13.183
2015.0,Prevoz putnika i robe po granama saobraćaja,"Prevezena roba, ukupno hilj. tona",14.483
2016.0,Prevoz putnika i robe po granama saobraćaja,"Prevezena roba, ukupno hilj. tona",14.594
2017.0,Prevoz putnika i robe po granama saobraćaja,"Prevezena roba, ukupno hilj. tona",14.828
2018.0,Prevoz putnika i robe po granama saobraćaja,"Prevezena roba, ukupno hilj. tona",15.199
2019.0,Prevoz putnika i robe po granama saobraćaja,"Prevezena roba, ukupno hilj. tona",15.296
2020.0,Prevoz putnika i robe po granama saobraćaja,"Prevezena roba, ukupno hilj. tona",13.465
2021.0,Prevoz putnika i robe po granama saobraćaja,"Prevezena roba, ukupno hilj. tona",13.942
2022.0,Prevoz putnika i robe po granama saobraćaja,"Prevezena roba, ukupno hilj. tona",14.539
2023.0,Prevoz putnika i robe po granama saobraćaja,"Prevezena roba, ukupno hilj. tona",13.971
2013.0,Prevoz putnika i robe po granama saobraćaja,"Tonski kilometri,ukupno mil.",2.425
