Year,SERIES,UNIT_MEASURE,Spol,Privredna aktivnost,Value
2017.0,Zaposlenost u  prerađivačkoj industriji,,Oba spola ili bez podjele po spolu,Proizvodnja,100.052
2018.0,Zaposlenost u  prerađivačkoj industriji,,Oba spola ili bez podjele po spolu,Proizvodnja,105.098
2019.0,Zaposlenost u  prerađivačkoj industriji,,Oba spola ili bez podjele po spolu,Proizvodnja,106.385
2020.0,Zaposlenost u  prerađivačkoj industriji,,Oba spola ili bez podjele po spolu,Proizvodnja,101.729
2021.0,Zaposlenost u  prerađivačkoj industriji,,Oba spola ili bez podjele po spolu,Proizvodnja,103.541
2022.0,Zaposlenost u  prerađivačkoj industriji,,Oba spola ili bez podjele po spolu,Proizvodnja,106.439
2023.0,Zaposlenost u  prerađivačkoj industriji,,Oba spola ili bez podjele po spolu,Proizvodnja,106.23
2017.0,Zaposlenost u  prerađivačkoj industriji,,Žene,Proizvodnja,33.141
2018.0,Zaposlenost u  prerađivačkoj industriji,,Žene,Proizvodnja,35.599
2019.0,Zaposlenost u  prerađivačkoj industriji,,Žene,Proizvodnja,36.793
2020.0,Zaposlenost u  prerađivačkoj industriji,,Žene,Proizvodnja,35.472
2021.0,Zaposlenost u  prerađivačkoj industriji,,Žene,Proizvodnja,35.957
2022.0,Zaposlenost u  prerađivačkoj industriji,,Žene,Proizvodnja,38.023
2023.0,Zaposlenost u  prerađivačkoj industriji,,Žene,Proizvodnja,38.21
2017.0,Učešće u ukupnoj zaposlenosti,Procenat,Oba spola ili bez podjele po spolu,Proizvodnja,19.8
2018.0,Učešće u ukupnoj zaposlenosti,Procenat,Oba spola ili bez podjele po spolu,Proizvodnja,20.2
2019.0,Učešće u ukupnoj zaposlenosti,Procenat,Oba spola ili bez podjele po spolu,Proizvodnja,20.0
2020.0,Učešće u ukupnoj zaposlenosti,Procenat,Oba spola ili bez podjele po spolu,Proizvodnja,19.6
2021.0,Učešće u ukupnoj zaposlenosti,Procenat,Oba spola ili bez podjele po spolu,Proizvodnja,19.7
2022.0,Učešće u ukupnoj zaposlenosti,Procenat,Oba spola ili bez podjele po spolu,Proizvodnja,19.9
2023.0,Učešće u ukupnoj zaposlenosti,Procenat,Oba spola ili bez podjele po spolu,Proizvodnja,19.6
2017.0,Učešće u ukupnoj zaposlenosti,Procenat,Žene,Proizvodnja,16.0
2018.0,Učešće u ukupnoj zaposlenosti,Procenat,Žene,Proizvodnja,16.5
2019.0,Učešće u ukupnoj zaposlenosti,Procenat,Žene,Proizvodnja,16.5
2020.0,Učešće u ukupnoj zaposlenosti,Procenat,Žene,Proizvodnja,16.3
2021.0,Učešće u ukupnoj zaposlenosti,Procenat,Žene,Proizvodnja,16.2
2022.0,Učešće u ukupnoj zaposlenosti,Procenat,Žene,Proizvodnja,16.4
2023.0,Učešće u ukupnoj zaposlenosti,Procenat,Žene,Proizvodnja,16.0
2017.0,Ukupna zaposlenost u FBiH,,Oba spola ili bez podjele po spolu,Proizvodnja,505.201
2018.0,Ukupna zaposlenost u FBiH,,Oba spola ili bez podjele po spolu,Proizvodnja,519.8
2019.0,Ukupna zaposlenost u FBiH,,Oba spola ili bez podjele po spolu,Proizvodnja,531.483
2020.0,Ukupna zaposlenost u FBiH,,Oba spola ili bez podjele po spolu,Proizvodnja,520.162
2021.0,Ukupna zaposlenost u FBiH,,Oba spola ili bez podjele po spolu,Proizvodnja,525.397
2022.0,Ukupna zaposlenost u FBiH,,Oba spola ili bez podjele po spolu,Proizvodnja,535.665
2023.0,Ukupna zaposlenost u FBiH,,Oba spola ili bez podjele po spolu,Proizvodnja,541.261
2017.0,Ukupna zaposlenost u FBiH,,Žene,Proizvodnja,206.572
2018.0,Ukupna zaposlenost u FBiH,,Žene,Proizvodnja,215.317
2019.0,Ukupna zaposlenost u FBiH,,Žene,Proizvodnja,222.516
2020.0,Ukupna zaposlenost u FBiH,,Žene,Proizvodnja,218.28
2021.0,Ukupna zaposlenost u FBiH,,Žene,Proizvodnja,222.303
2022.0,Ukupna zaposlenost u FBiH,,Žene,Proizvodnja,232.282
2023.0,Ukupna zaposlenost u FBiH,,Žene,Proizvodnja,238.477
,,,,,
