Year,Value,UNIT_MEASURE,SERIES
2013.0,236.3,Milioni konvertibilnih maraka,Ukupni tokovi direktnih stranih ulaganja
2014.0,405.3,Milioni konvertibilnih maraka,Ukupni tokovi direktnih stranih ulaganja
2015.0,484.9,Milioni konvertibilnih maraka,Ukupni tokovi direktnih stranih ulaganja
2016.0,520.2,Milioni konvertibilnih maraka,Ukupni tokovi direktnih stranih ulaganja
2017.0,581.3,Milioni konvertibilnih maraka,Ukupni tokovi direktnih stranih ulaganja
2018.0,574.6,Milioni konvertibilnih maraka,Ukupni tokovi direktnih stranih ulaganja
2019.0,397.7,Milioni konvertibilnih maraka,Ukupni tokovi direktnih stranih ulaganja
2020.0,514.4,Milioni konvertibilnih maraka,Ukupni tokovi direktnih stranih ulaganja
2021.0,930.1,Milioni konvertibilnih maraka,Ukupni tokovi direktnih stranih ulaganja
2022.0,1001.2,Milioni konvertibilnih maraka,Ukupni tokovi direktnih stranih ulaganja
2013.0,6690.0,Milioni konvertibilnih maraka,Ukupno stanje direktnih stranih ulaganja na dan 31.12
2014.0,6984.3,Milioni konvertibilnih maraka,Ukupno stanje direktnih stranih ulaganja na dan 31.12
2015.0,7205.1,Milioni konvertibilnih maraka,Ukupno stanje direktnih stranih ulaganja na dan 31.12
2016.0,7758.2,Milioni konvertibilnih maraka,Ukupno stanje direktnih stranih ulaganja na dan 31.12
2017.0,8354.2,Milioni konvertibilnih maraka,Ukupno stanje direktnih stranih ulaganja na dan 31.12
2018.0,8921.6,Milioni konvertibilnih maraka,Ukupno stanje direktnih stranih ulaganja na dan 31.12
2019.0,9351.6,Milioni konvertibilnih maraka,Ukupno stanje direktnih stranih ulaganja na dan 31.12
2020.0,9934.4,Milioni konvertibilnih maraka,Ukupno stanje direktnih stranih ulaganja na dan 31.12
2021.0,10871.0,Milioni konvertibilnih maraka,Ukupno stanje direktnih stranih ulaganja na dan 31.12
2022.0,11256.4,Milioni konvertibilnih maraka,Ukupno stanje direktnih stranih ulaganja na dan 31.12
,,,
,,,
