Year,Value,SERIES
2013.0,8.052,"Realni bruto domaći proizvod po stanovniku, lančano povezane vrijednosti u cijenama 2015"
2014.0,8.181,"Realni bruto domaći proizvod po stanovniku, lančano povezane vrijednosti u cijenama 2015"
2015.0,8.452,"Realni bruto domaći proizvod po stanovniku, lančano povezane vrijednosti u cijenama 2015"
2016.0,8.721,"Realni bruto domaći proizvod po stanovniku, lančano povezane vrijednosti u cijenama 2015"
2017.0,9.023,"Realni bruto domaći proizvod po stanovniku, lančano povezane vrijednosti u cijenama 2015"
2018.0,9.386,"Realni bruto domaći proizvod po stanovniku, lančano povezane vrijednosti u cijenama 2015"
2019.0,9.679,"Realni bruto domaći proizvod po stanovniku, lančano povezane vrijednosti u cijenama 2015"
2020.0,9.357,"Realni bruto domaći proizvod po stanovniku, lančano povezane vrijednosti u cijenama 2015"
2021.0,10.194,"Realni bruto domaći proizvod po stanovniku, lančano povezane vrijednosti u cijenama 2015"
2022.0,10.675,"Realni bruto domaći proizvod po stanovniku, lančano povezane vrijednosti u cijenama 2015"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
