Year,SERIES,UNIT_MEASURE,URBANISATION,SEX,AGE,Value
2007,SI_POV_VELS,PT,,M,,15.6
2011,SI_POV_VELS,PT,,M,,15.7
2015,SI_POV_VELS,PT,,M,,16.0
2007,SI_POV_VELS,PT,,F,,18.0
2011,SI_POV_VELS,PT,,F,,17.0
2015,SI_POV_VELS,PT,,F,,16.2
2011,SI_POV_VELA,PT,,,<35Y,12.3
2011,SI_POV_VELA,PT,,,Y36T45,21.6
2011,SI_POV_VELA,PT,,,Y45T55,16.8
2011,SI_POV_VELA,PT,,,Y56T65,15.9
2011,SI_POV_VELA,PT,,,Y_GE65,24.1
2015,SI_POV_VELA,PT,,,<35Y,10.6
2015,SI_POV_VELA,PT,,,Y36T45,18.7
2015,SI_POV_VELA,PT,,,Y45T55,17.5
2015,SI_POV_VELA,PT,,,Y56T65,16.8
2015,SI_POV_VELA,PT,,,Y_GE65,22.4
2011,SI_POV_SETT,PT,R,,,8.9
2015,SI_POV_SETT,PT,R,,,11.0
2011,SI_POV_SETT,PT,O,,,21.9
2015,SI_POV_SETT,PT,O,,,20.3
