Year,SERIES,UNIT_MEASURE,BURDEN,HOUSEHOLD,URBANISATION,Value
2011,SP_ACS_BSRVH2O,PT,,,_T,98.8
2015,SP_ACS_BSRVH2O,PT,,,_T,99.7
2021/22,SP_ACS_BSRVH2O,PT,,,_T,99.8
2011,SP_ACS_BSRVH2O,PT,,,U,99.3
2015,SP_ACS_BSRVH2O,PT,,,U,99.9
2021/22,SP_ACS_BSRVH2O,PT,,,U,100.0
2011,SP_ACS_BSRVH2O,PT,,,O,98.3
2015,SP_ACS_BSRVH2O,PT,,,O,99.6
2021/22,SP_ACS_BSRVH2O,PT,,,O,99.6
2011,SP_ACS_COST,PT,HIGH_B,,,2.1
2015,SP_ACS_COST,PT,HIGH_B,,,7.4
2021/22,SP_ACS_COST,PT,HIGH_B,,,15.2
2011,SP_ACS_COST,PT,CERTAIN_B,,,56.5
2015,SP_ACS_COST,PT,CERTAIN_B,,,53.9
2021/22,SP_ACS_COST,PT,CERTAIN_B,,,45.7
2011,SP_ACS_COST,PT,NO_B,,,40.6
2015,SP_ACS_COST,PT,NO_B,,,38.7
2021/22,SP_ACS_COST,PT,NO_B,,,39.0
2011,SP_ACS_HEAT,PT,,,,16.7
2015,SP_ACS_HEAT,PT,,,,11.1
2021/22,SP_ACS_HEAT,PT,,,,9.2
2011,SP_ACS_HOUSE,PT,,LIGHT_P,,7.5
2015,SP_ACS_HOUSE,PT,,LIGHT_P,,5.6
2021/22,SP_ACS_HOUSE,PT,,LIGHT_P,,3.1
2011,SP_ACS_HOUSE,PT,,HEAT_P,,16.7
2015,SP_ACS_HOUSE,PT,,HEAT_P,,11.1
2021/22,SP_ACS_HOUSE,PT,,HEAT_P,,9.2
2011,SP_ACS_HOUSE,PT,,ROT_P,,14.3
2015,SP_ACS_HOUSE,PT,,ROT_P,,12.5
2021/22,SP_ACS_HOUSE,PT,,ROT_P,,3.7
2011,SP_ACS_HOUSE,PT,,HUMID_P,,16.7
2015,SP_ACS_HOUSE,PT,,HUMID_P,,14.3
2021/22,SP_ACS_HOUSE,PT,,HUMID_P,,6.5
2011,SP_ACS_HOUSE,PT,,RAIN_P,,9.0
2015,SP_ACS_HOUSE,PT,,RAIN_P,,7.1
2021/22,SP_ACS_HOUSE,PT,,RAIN_P,,2.3
,,,,,,
