Year,SERIES,UNIT_MEASURE,Value
2013,DC_TOF_TRDFOR,BAM_M,236.3
2014,DC_TOF_TRDFOR,BAM_M,405.3
2015,DC_TOF_TRDFOR,BAM_M,484.9
2016,DC_TOF_TRDFOR,BAM_M,520.2
2017,DC_TOF_TRDFOR,BAM_M,581.3
2018,DC_TOF_TRDFOR,BAM_M,574.6
2019,DC_TOF_TRDFOR,BAM_M,397.7
2020,DC_TOF_TRDFOR,BAM_M,514.4
2021,DC_TOF_TRDFOR,BAM_M,930.1
2022,DC_TOF_TRDFOR,BAM_M,1001.2
2013,DC_TOF_TRDSTOCK,BAM_M,6690.0
2014,DC_TOF_TRDSTOCK,BAM_M,6984.3
2015,DC_TOF_TRDSTOCK,BAM_M,7205.1
2016,DC_TOF_TRDSTOCK,BAM_M,7758.2
2017,DC_TOF_TRDSTOCK,BAM_M,8354.2
2018,DC_TOF_TRDSTOCK,BAM_M,8921.6
2019,DC_TOF_TRDSTOCK,BAM_M,9351.6
2020,DC_TOF_TRDSTOCK,BAM_M,9934.4
2021,DC_TOF_TRDSTOCK,BAM_M,10871.0
2022,DC_TOF_TRDSTOCK,BAM_M,11256.4
,,,
,,,
