Year,SERIES,UNIT_MEASURE,SORT,SEX,Value
2020,VC_HTF_OFF,NUMBER,OFF_TOT,,10
2021,VC_HTF_OFF,NUMBER,OFF_TOT,,1
2022,VC_HTF_OFF,NUMBER,OFF_TOT,,3
2023,VC_HTF_OFF,NUMBER,OFF_TOT,,1
2020,VC_HTF_OFF,NUMBER,HUM_TRAF,,1
2021,VC_HTF_OFF,NUMBER,HUM_TRAF,,1
2022,VC_HTF_OFF,NUMBER,HUM_TRAF,,3
2023,VC_HTF_OFF,NUMBER,HUM_TRAF,,1
2020,VC_HTF_OFF,NUMBER,ORG_HUM_TRAF,,9
2021,VC_HTF_OFF,NUMBER,ORG_HUM_TRAF,,0
2022,VC_HTF_OFF,NUMBER,ORG_HUM_TRAF,,0
2023,VC_HTF_OFF,NUMBER,ORG_HUM_TRAF,,0
2020,VC_HTF_OFF,NUMBER,TOT_VICTIM,,6
2021,VC_HTF_OFF,NUMBER,TOT_VICTIM,,0
2022,VC_HTF_OFF,NUMBER,TOT_VICTIM,,0
2023,VC_HTF_OFF,NUMBER,TOT_VICTIM,,1
2020,VC_HTF_OFF,NUMBER,TOT_VICTIM,M,3
2021,VC_HTF_OFF,NUMBER,TOT_VICTIM,M,0
2022,VC_HTF_OFF,NUMBER,TOT_VICTIM,M,0
2023,VC_HTF_OFF,NUMBER,TOT_VICTIM,M,0
2020,VC_HTF_OFF,NUMBER,TOT_VICTIM,F,3
2021,VC_HTF_OFF,NUMBER,TOT_VICTIM,F,0
2022,VC_HTF_OFF,NUMBER,TOT_VICTIM,F,0
2023,VC_HTF_OFF,NUMBER,TOT_VICTIM,F,1
,,,,,
,,,,,
