Year,SERIES,UNIT_MEASURE,AGE,SEX,Value
2013,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,5.6
2014,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,4.2
2015,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,6.3
2016,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,6.1
2017,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,6.5
2018,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,6.3
2019,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,6.7
2020,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,4.9
2021,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,4.9
2022,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,5.3
,,,,,
