Year,SERIES,UNIT_MEASURE,SEX,Value
2013,SH_STA_SCIDE,PER_100000_POP,_T,7.8
2014,SH_STA_SCIDE,PER_100000_POP,_T,7.6
2015,SH_STA_SCIDE,PER_100000_POP,_T,7.7
2016,SH_STA_SCIDE,PER_100000_POP,_T,8.1
2017,SH_STA_SCIDE,PER_100000_POP,_T,9.2
2018,SH_STA_SCIDE,PER_100000_POP,_T,9.0
2019,SH_STA_SCIDE,PER_100000_POP,_T,7.5
2020,SH_STA_SCIDE,PER_100000_POP,_T,7.0
2021,SH_STA_SCIDE,PER_100000_POP,_T,8.2
2022,SH_STA_SCIDE,PER_100000_POP,_T,7.0
2013,SH_STA_SCIDE,PER_100000_POP,M,11.9
2014,SH_STA_SCIDE,PER_100000_POP,M,11.4
2015,SH_STA_SCIDE,PER_100000_POP,M,11.6
2016,SH_STA_SCIDE,PER_100000_POP,M,11.5
2017,SH_STA_SCIDE,PER_100000_POP,M,13.7
2018,SH_STA_SCIDE,PER_100000_POP,M,13.6
2019,SH_STA_SCIDE,PER_100000_POP,M,11.2
2020,SH_STA_SCIDE,PER_100000_POP,M,11.3
2021,SH_STA_SCIDE,PER_100000_POP,M,13.1
2022,SH_STA_SCIDE,PER_100000_POP,M,11.3
2013,SH_STA_SCIDE,PER_100000_POP,F,3.8
2014,SH_STA_SCIDE,PER_100000_POP,F,3.9
2015,SH_STA_SCIDE,PER_100000_POP,F,3.9
2016,SH_STA_SCIDE,PER_100000_POP,F,4.9
2017,SH_STA_SCIDE,PER_100000_POP,F,4.8
2018,SH_STA_SCIDE,PER_100000_POP,F,4.5
2019,SH_STA_SCIDE,PER_100000_POP,F,3.9
2020,SH_STA_SCIDE,PER_100000_POP,F,3.0
2021,SH_STA_SCIDE,PER_100000_POP,F,3.4
2022,SH_STA_SCIDE,PER_100000_POP,F,2.8
,,,,
