Year,SERIES,UNIT_MEASURE,Value
2013,SH_STA_TRAF,PER_100000_POP,5.4
2014,SH_STA_TRAF,PER_100000_POP,5.6
2015,SH_STA_TRAF,PER_100000_POP,5.0
2016,SH_STA_TRAF,PER_100000_POP,5.9
2017,SH_STA_TRAF,PER_100000_POP,4.7
2018,SH_STA_TRAF,PER_100000_POP,5.0
2019,SH_STA_TRAF,PER_100000_POP,4.7
2020,SH_STA_TRAF,PER_100000_POP,4.3
2021,SH_STA_TRAF,PER_100000_POP,4.1
2022,SH_STA_TRAF,PER_100000_POP,3.0
2013,SH_STA_TOT,,26.698
2014,SH_STA_TOT,,27.578
2015,SH_STA_TOT,,28.982
2016,SH_STA_TOT,,29.321
2017,SH_STA_TOT,,27.720
2018,SH_STA_TOT,,25.905
2019,SH_STA_TOT,,24.093
2020,SH_STA_TOT,,20.378
2021,SH_STA_TOT,,20.522
2022,SH_STA_TOT,,21.339
2013,SH_STA_KILL,,184
2014,SH_STA_KILL,,159
2015,SH_STA_KILL,,186
2016,SH_STA_KILL,,188
2017,SH_STA_KILL,,176
2018,SH_STA_KILL,,143
2019,SH_STA_KILL,,139
2020,SH_STA_KILL,,138
2021,SH_STA_KILL,,158
2022,SH_STA_KILL,,117
2013,SH_STA_NUM_D,PER_100000_POP,8.3
2014,SH_STA_NUM_D,PER_100000_POP,7.2
2015,SH_STA_NUM_D,PER_100000_POP,8.4
2016,SH_STA_NUM_D,PER_100000_POP,8.5
2017,SH_STA_NUM_D,PER_100000_POP,8.0
2018,SH_STA_NUM_D,PER_100000_POP,6.5
2019,SH_STA_NUM_D,PER_100000_POP,6.3
2020,SH_STA_NUM_D,PER_100000_POP,6.3
2021,SH_STA_NUM_D,PER_100000_POP,7.3
2022,SH_STA_NUM_D,PER_100000_POP,5.4
,,,
