Year,UNIT_MEASURE,SERIES,AGE,SEX,Value
2013,PT,DIFF_IN_EMPLOY,Y20T64,,22.6
2014,PT,DIFF_IN_EMPLOY,Y20T64,,24.3
2015,PT,DIFF_IN_EMPLOY,Y20T64,,22.1
2016,PT,DIFF_IN_EMPLOY,Y20T64,,25.3
2017,PT,DIFF_IN_EMPLOY,Y20T64,,23.6
2018,PT,DIFF_IN_EMPLOY,Y20T64,,25.3
2019,PT,DIFF_IN_EMPLOY,Y20T64,,24.9
2020,PT,DIFF_IN_EMPLOY,Y20T64,,29.9
2021,PT,DIFF_IN_EMPLOY,Y20T64,,31.3
2022,PT,DIFF_IN_EMPLOY,Y20T64,,30.4
2020,PT,DIFF_IN_PAY,,M,938
2021,PT,DIFF_IN_PAY,,M,1001
2020,PT,DIFF_IN_PAY,,F,938
2021,PT,DIFF_IN_PAY,,F,985
,,,,,
