Year,SERIES,UNIT_MEASURE,WASTE_TREATMENT,Value
2013,EN_WWT_WATER,T_M3,,2.871
2014,EN_WWT_WATER,T_M3,,2.844
2015,EN_WWT_WATER,T_M3,,3.424
2016,EN_WWT_WATER,T_M3,,52.823
2017,EN_WWT_WATER,T_M3,,52.438
2018,EN_WWT_WATER,T_M3,,51.214
2019,EN_WWT_WATER,T_M3,,54.040
2020,EN_WWT_WATER,T_M3,,48.613
2021,EN_WWT_WATER,T_M3,,35.982
2013,EN_WWT_DIV_W,PT,PUR,4.5
2014,EN_WWT_DIV_W,PT,PUR,4.7
2015,EN_WWT_DIV_W,PT,PUR,5.5
2016,EN_WWT_DIV_W,PT,PUR,56.2
2017,EN_WWT_DIV_W,PT,PUR,55.4
2018,EN_WWT_DIV_W,PT,PUR,57.3
2019,EN_WWT_DIV_W,PT,PUR,59.9
2020,EN_WWT_DIV_W,PT,PUR,55.8
2021,EN_WWT_DIV_W,PT,PUR,49.0
2013,EN_WWT_DIV_W,PT,UNPUR,95.5
2014,EN_WWT_DIV_W,PT,UNPUR,95.3
2015,EN_WWT_DIV_W,PT,UNPUR,94.5
2016,EN_WWT_DIV_W,PT,UNPUR,43.8
2017,EN_WWT_DIV_W,PT,UNPUR,44.6
2018,EN_WWT_DIV_W,PT,UNPUR,42.7
2019,EN_WWT_DIV_W,PT,UNPUR,40.1
2020,EN_WWT_DIV_W,PT,UNPUR,44.2
2021,EN_WWT_DIV_W,PT,UNPUR,51.0
,,,,
,,,,
