Year,SERIES,UNIT_MEASURE,SORT,Value
2013,FB_ATM_TOTL,NUMBER,,57.4
2014,FB_ATM_TOTL,NUMBER,,60.4
2015,FB_ATM_TOTL,NUMBER,,63.5
2016,FB_ATM_TOTL,NUMBER,,64.8
2017,FB_ATM_TOTL,NUMBER,,65.3
2018,FB_ATM_TOTL,NUMBER,,67.1
2019,FB_ATM_TOTL,NUMBER,,71.2
2020,FB_ATM_TOTL,NUMBER,,71.3
2021,FB_ATM_TOTL,NUMBER,,70.9
2022,FB_ATM_TOTL,NUMBER,,71.9
2013,FB_ATM_TOTL,NUMBER,_T,1012
2014,FB_ATM_TOTL,NUMBER,_T,1072
2015,FB_ATM_TOTL,NUMBER,_T,1133
2016,FB_ATM_TOTL,NUMBER,_T,1161
2017,FB_ATM_TOTL,NUMBER,_T,1172
2018,FB_ATM_TOTL,NUMBER,_T,1207
2019,FB_ATM_TOTL,NUMBER,_T,1281
2020,FB_ATM_TOTL,NUMBER,_T,1285
2021,FB_ATM_TOTL,NUMBER,_T,1270
2022,FB_ATM_TOTL,NUMBER,_T,1284
2013,FB_CBK_BRCH,NUMBER,BANKS_FBIH,32.9
2014,FB_CBK_BRCH,NUMBER,BANKS_FBIH,32.2
2015,FB_CBK_BRCH,NUMBER,BANKS_FBIH,31.2
2016,FB_CBK_BRCH,NUMBER,BANKS_FBIH,30.7
2017,FB_CBK_BRCH,NUMBER,BANKS_FBIH,30.8
2018,FB_CBK_BRCH,NUMBER,BANKS_FBIH,30.5
2019,FB_CBK_BRCH,NUMBER,BANKS_FBIH,29.6
2020,FB_CBK_BRCH,NUMBER,BANKS_FBIH,29.5
2021,FB_CBK_BRCH,NUMBER,BANKS_FBIH,29.4
2022,FB_CBK_BRCH,NUMBER,BANKS_FBIH,28.5
2013,FB_CBK_BRCH,NUMBER,BANKS_RS_FBIH,1.5
2014,FB_CBK_BRCH,NUMBER,BANKS_RS_FBIH,1.8
2015,FB_CBK_BRCH,NUMBER,BANKS_RS_FBIH,2.0
2016,FB_CBK_BRCH,NUMBER,BANKS_RS_FBIH,1.2
2017,FB_CBK_BRCH,NUMBER,BANKS_RS_FBIH,1.2
2018,FB_CBK_BRCH,NUMBER,BANKS_RS_FBIH,1.4
2019,FB_CBK_BRCH,NUMBER,BANKS_RS_FBIH,1.5
2020,FB_CBK_BRCH,NUMBER,BANKS_RS_FBIH,1.6
2021,FB_CBK_BRCH,NUMBER,BANKS_RS_FBIH,1.6
2022,FB_CBK_BRCH,NUMBER,BANKS_RS_FBIH,1.6
2013,FB_CBK_BRCH,NUMBER,_T,34.4
2014,FB_CBK_BRCH,NUMBER,_T,34.0
2015,FB_CBK_BRCH,NUMBER,_T,33.2
2016,FB_CBK_BRCH,NUMBER,_T,32.0
2017,FB_CBK_BRCH,NUMBER,_T,32.0
2018,FB_CBK_BRCH,NUMBER,_T,31.9
2019,FB_CBK_BRCH,NUMBER,_T,31.1
2020,FB_CBK_BRCH,NUMBER,_T,31.0
2021,FB_CBK_BRCH,NUMBER,_T,31.0
2022,FB_CBK_BRCH,NUMBER,_T,30.1
2013,FB_CBK_TOT,NUMBER,BANKS_FBIH,580
2014,FB_CBK_TOT,NUMBER,BANKS_FBIH,571
2015,FB_CBK_TOT,NUMBER,BANKS_FBIH,557
2016,FB_CBK_TOT,NUMBER,BANKS_FBIH,551
2017,FB_CBK_TOT,NUMBER,BANKS_FBIH,553
2018,FB_CBK_TOT,NUMBER,BANKS_FBIH,549
2019,FB_CBK_TOT,NUMBER,BANKS_FBIH,533
2020,FB_CBK_TOT,NUMBER,BANKS_FBIH,531
2021,FB_CBK_TOT,NUMBER,BANKS_FBIH,527
2022,FB_CBK_TOT,NUMBER,BANKS_FBIH,509
2013,FB_CBK_TOT,NUMBER,BANKS_RS_FBIH,27
2014,FB_CBK_TOT,NUMBER,BANKS_RS_FBIH,32
2015,FB_CBK_TOT,NUMBER,BANKS_RS_FBIH,36
2016,FB_CBK_TOT,NUMBER,BANKS_RS_FBIH,22
2017,FB_CBK_TOT,NUMBER,BANKS_RS_FBIH,22
2018,FB_CBK_TOT,NUMBER,BANKS_RS_FBIH,25
2019,FB_CBK_TOT,NUMBER,BANKS_RS_FBIH,27
2020,FB_CBK_TOT,NUMBER,BANKS_RS_FBIH,28
2021,FB_CBK_TOT,NUMBER,BANKS_RS_FBIH,28
2022,FB_CBK_TOT,NUMBER,BANKS_RS_FBIH,28
2013,FB_CBK_TOT,NUMBER,_T,607
2014,FB_CBK_TOT,NUMBER,_T,603
2015,FB_CBK_TOT,NUMBER,_T,593
2016,FB_CBK_TOT,NUMBER,_T,573
2017,FB_CBK_TOT,NUMBER,_T,575
2018,FB_CBK_TOT,NUMBER,_T,574
2019,FB_CBK_TOT,NUMBER,_T,560
2020,FB_CBK_TOT,NUMBER,_T,559
2021,FB_CBK_TOT,NUMBER,_T,555
2022,FB_CBK_TOT,NUMBER,_T,537
