Year,SERIES,UNIT_MEASURE,SEX,Value
2013,SL_TLF_EMP,PT,_T,30.3
2014,SL_TLF_EMP,PT,_T,30.2
2015,SL_TLF_EMP,PT,_T,30.2
2016,SL_TLF_EMP,PT,_T,30.5
2017,SL_TLF_EMP,PT,_T,32.2
2018,SL_TLF_EMP,PT,_T,31.9
2019,SL_TLF_EMP,PT,_T,31.9
2020,SL_TLF_EMP,PT,_T,37.5
2021,SL_TLF_EMP,PT,_T,37.8
2022,SL_TLF_EMP,PT,_T,39.6
2013,SL_TLF_EMP,PT,M,39.7
2014,SL_TLF_EMP,PT,M,40.1
2015,SL_TLF_EMP,PT,M,39.4
2016,SL_TLF_EMP,PT,M,41.1
2017,SL_TLF_EMP,PT,M,41.7
2018,SL_TLF_EMP,PT,M,42.0
2019,SL_TLF_EMP,PT,M,41.6
2020,SL_TLF_EMP,PT,M,50.2
2021,SL_TLF_EMP,PT,M,51.0
2022,SL_TLF_EMP,PT,M,52.5
2013,SL_TLF_EMP,PT,F,21.3
2014,SL_TLF_EMP,PT,F,20.9
2015,SL_TLF_EMP,PT,F,21.4
2016,SL_TLF_EMP,PT,F,20.6
2017,SL_TLF_EMP,PT,F,23.1
2018,SL_TLF_EMP,PT,F,22.5
2019,SL_TLF_EMP,PT,F,23.0
2020,SL_TLF_EMP,PT,F,25.5
2021,SL_TLF_EMP,PT,F,25.2
2022,SL_TLF_EMP,PT,F,27.4
