Year,SERIES,UNIT_MEASURE,SEX,SORT,URBANISATION,Value
2013,NY_GDP_TOUR,PT,,,,2.3
2014,NY_GDP_TOUR,PT,,,,2.3
2015,NY_GDP_TOUR,PT,,,,2.2
2016,NY_GDP_TOUR,PT,,,,2.2
2017,NY_GDP_TOUR,PT,,,,2.3
2018,NY_GDP_TOUR,PT,,,,2.2
2019,NY_GDP_TOUR,PT,,,,2.3
2020,NY_GDP_TOUR,PT,,,,1.7
2021,NY_GDP_TOUR,PT,,,,1.9
2013,TOUR_ARR,THOUSANDS,,,_T,577
2014,TOUR_ARR,THOUSANDS,,,_T,576
2015,TOUR_ARR,THOUSANDS,,,_T,723
2016,TOUR_ARR,THOUSANDS,,,_T,812
2017,TOUR_ARR,THOUSANDS,,,_T,949
2018,TOUR_ARR,THOUSANDS,,,_T,1.071
2019,TOUR_ARR,THOUSANDS,,,_T,1.227
2020,TOUR_ARR,THOUSANDS,,,_T,306
2021,TOUR_ARR,THOUSANDS,,,_T,667
2022,TOUR_ARR,THOUSANDS,,,_T,1.024
2023,TOUR_ARR,THOUSANDS,,,_T,1.262
2013,TOUR_ARR,THOUSANDS,,,DOM,166
2014,TOUR_ARR,THOUSANDS,,,DOM,163
2015,TOUR_ARR,THOUSANDS,,,DOM,186
2016,TOUR_ARR,THOUSANDS,,,DOM,199
2017,TOUR_ARR,THOUSANDS,,,DOM,210
2018,TOUR_ARR,THOUSANDS,,,DOM,228
2019,TOUR_ARR,THOUSANDS,,,DOM,256
2020,TOUR_ARR,THOUSANDS,,,DOM,177
2021,TOUR_ARR,THOUSANDS,,,DOM,289
2022,TOUR_ARR,THOUSANDS,,,DOM,338
2023,TOUR_ARR,THOUSANDS,,,DOM,350
2013,TOUR_ARR,THOUSANDS,,,FOR,411
2014,TOUR_ARR,THOUSANDS,,,FOR,413
2015,TOUR_ARR,THOUSANDS,,,FOR,537
2016,TOUR_ARR,THOUSANDS,,,FOR,613
2017,TOUR_ARR,THOUSANDS,,,FOR,739
2018,TOUR_ARR,THOUSANDS,,,FOR,843
2019,TOUR_ARR,THOUSANDS,,,FOR,971
2020,TOUR_ARR,THOUSANDS,,,FOR,129
2021,TOUR_ARR,THOUSANDS,,,FOR,378
2022,TOUR_ARR,THOUSANDS,,,FOR,686
2023,TOUR_ARR,THOUSANDS,,,FOR,912
2013,TOUR_NIGHT,THOUSANDS,,,_T,1.135
2014,TOUR_NIGHT,THOUSANDS,,,_T,1.095
2015,TOUR_NIGHT,THOUSANDS,,,_T,1.439
2016,TOUR_NIGHT,THOUSANDS,,,_T,1.620
2017,TOUR_NIGHT,THOUSANDS,,,_T,1.861
2018,TOUR_NIGHT,THOUSANDS,,,_T,2.095
2019,TOUR_NIGHT,THOUSANDS,,,_T,2.380
2020,TOUR_NIGHT,THOUSANDS,,,_T,704
2021,TOUR_NIGHT,THOUSANDS,,,_T,1.496
2022,TOUR_NIGHT,THOUSANDS,,,_T,2.163
2023,TOUR_NIGHT,THOUSANDS,,,_T,2.560
2013,TOUR_NIGHT,THOUSANDS,,,DOM,309
2014,TOUR_NIGHT,THOUSANDS,,,DOM,292
2015,TOUR_NIGHT,THOUSANDS,,,DOM,342
2016,TOUR_NIGHT,THOUSANDS,,,DOM,346
2017,TOUR_NIGHT,THOUSANDS,,,DOM,364
2018,TOUR_NIGHT,THOUSANDS,,,DOM,413
2019,TOUR_NIGHT,THOUSANDS,,,DOM,479
2020,TOUR_NIGHT,THOUSANDS,,,DOM,413
2021,TOUR_NIGHT,THOUSANDS,,,DOM,571
2022,TOUR_NIGHT,THOUSANDS,,,DOM,660
2023,TOUR_NIGHT,THOUSANDS,,,DOM,680
2013,TOUR_NIGHT,THOUSANDS,,,FOR,826
2014,TOUR_NIGHT,THOUSANDS,,,FOR,803
2015,TOUR_NIGHT,THOUSANDS,,,FOR,1.097
2016,TOUR_NIGHT,THOUSANDS,,,FOR,1.274
2017,TOUR_NIGHT,THOUSANDS,,,FOR,1.497
2018,TOUR_NIGHT,THOUSANDS,,,FOR,1.682
2019,TOUR_NIGHT,THOUSANDS,,,FOR,1.901
2020,TOUR_NIGHT,THOUSANDS,,,FOR,291
2021,TOUR_NIGHT,THOUSANDS,,,FOR,925
2022,TOUR_NIGHT,THOUSANDS,,,FOR,1.503
2023,TOUR_NIGHT,THOUSANDS,,,FOR,1.880
2013,NY_GDP_AGR,PT,,,,-2.1
2014,NY_GDP_AGR,PT,,,,0
2015,NY_GDP_AGR,PT,,,,2.2
2016,NY_GDP_AGR,PT,,,,1.8
2017,NY_GDP_AGR,PT,,,,9.3
2018,NY_GDP_AGR,PT,,,,3
2019,NY_GDP_AGR,PT,,,,6.8
2020,NY_GDP_AGR,PT,,,,-28.8
2021,NY_GDP_AGR,PT,,,,19
2022,NY_GDP_AGR,PT,,,,20.5
2017,TOUR_EMPLOY,,,_T,,24.754
2018,TOUR_EMPLOY,,,_T,,26.237
2019,TOUR_EMPLOY,,,_T,,27.414
2020,TOUR_EMPLOY,,,_T,,24.473
2021,TOUR_EMPLOY,,,_T,,24.679
2022,TOUR_EMPLOY,,,_T,,26.187
2023,TOUR_EMPLOY,,,_T,,27.315
2017,TOUR_EMPLOY,,,ACCOM,,4.542
2018,TOUR_EMPLOY,,,ACCOM,,4.842
2019,TOUR_EMPLOY,,,ACCOM,,4.976
2020,TOUR_EMPLOY,,,ACCOM,,3.811
2021,TOUR_EMPLOY,,,ACCOM,,3.780
2022,TOUR_EMPLOY,,,ACCOM,,4.371
2023,TOUR_EMPLOY,,,ACCOM,,4.755
2017,TOUR_EMPLOY,,,SERVICE,,20.212
2018,TOUR_EMPLOY,,,SERVICE,,21.395
2019,TOUR_EMPLOY,,,SERVICE,,22.438
2020,TOUR_EMPLOY,,,SERVICE,,20.662
2021,TOUR_EMPLOY,,,SERVICE,,20.899
2022,TOUR_EMPLOY,,,SERVICE,,21.816
2023,TOUR_EMPLOY,,,SERVICE,,22.560
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
