Year,SERIES,SORT,Value
2013,IS_RDP_TRANS,T_PAX_R,20.424
2014,IS_RDP_TRANS,T_PAX_R,12.360
2015,IS_RDP_TRANS,T_PAX_R,11.309
2016,IS_RDP_TRANS,T_PAX_R,10.810
2017,IS_RDP_TRANS,T_PAX_R,9.835
2018,IS_RDP_TRANS,T_PAX_R,8.645
2019,IS_RDP_TRANS,T_PAX_R,8.170
2020,IS_RDP_TRANS,T_PAX_R,4.242
2021,IS_RDP_TRANS,T_PAX_R,5.631
2022,IS_RDP_TRANS,T_PAX_R,6.591
2023,IS_RDP_TRANS,T_PAX_R,6.426
2013,IS_RDP_TRANS,PAX_KM,1.304
2014,IS_RDP_TRANS,PAX_KM,1.249
2015,IS_RDP_TRANS,PAX_KM,1.313
2016,IS_RDP_TRANS,PAX_KM,1.339
2017,IS_RDP_TRANS,PAX_KM,1.267
2018,IS_RDP_TRANS,PAX_KM,1.352
2019,IS_RDP_TRANS,PAX_KM,1.430
2020,IS_RDP_TRANS,PAX_KM,545
2021,IS_RDP_TRANS,PAX_KM,728
2022,IS_RDP_TRANS,PAX_KM,1.048
2023,IS_RDP_TRANS,PAX_KM,1.096
2013,IS_RDP_TRANS,T_GOODS,12.332
2014,IS_RDP_TRANS,T_GOODS,13.183
2015,IS_RDP_TRANS,T_GOODS,14.483
2016,IS_RDP_TRANS,T_GOODS,14.594
2017,IS_RDP_TRANS,T_GOODS,14.828
2018,IS_RDP_TRANS,T_GOODS,15.199
2019,IS_RDP_TRANS,T_GOODS,15.296
2020,IS_RDP_TRANS,T_GOODS,13.465
2021,IS_RDP_TRANS,T_GOODS,13.942
2022,IS_RDP_TRANS,T_GOODS,14.539
2023,IS_RDP_TRANS,T_GOODS,13.971
2013,IS_RDP_TRANS,T_KM,2.425
2014,IS_RDP_TRANS,T_KM,2.935
2015,IS_RDP_TRANS,T_KM,3.283
2016,IS_RDP_TRANS,T_KM,3.442
2017,IS_RDP_TRANS,T_KM,3.465
2018,IS_RDP_TRANS,T_KM,3.643
2019,IS_RDP_TRANS,T_KM,3.759
2020,IS_RDP_TRANS,T_KM,3.222
2021,IS_RDP_TRANS,T_KM,3.782
2022,IS_RDP_TRANS,T_KM,4.042
2023,IS_RDP_TRANS,T_KM,4.102
2013,RAIL_TRANS,T_PAX,416
2014,RAIL_TRANS,T_PAX,355
2015,RAIL_TRANS,T_PAX,334
2016,RAIL_TRANS,T_PAX,258
2017,RAIL_TRANS,T_PAX,355
2018,RAIL_TRANS,T_PAX,413
2019,RAIL_TRANS,T_PAX,497
2020,RAIL_TRANS,T_PAX,123
2021,RAIL_TRANS,T_PAX,190
2022,RAIL_TRANS,T_PAX,360
2023,RAIL_TRANS,T_PAX,359
2013,RAIL_TRANS,PAX_KM_NO_T,25
2014,RAIL_TRANS,PAX_KM_NO_T,22
2015,RAIL_TRANS,PAX_KM_NO_T,21
2016,RAIL_TRANS,PAX_KM_NO_T,13
2017,RAIL_TRANS,PAX_KM_NO_T,22
2018,RAIL_TRANS,PAX_KM_NO_T,30
2019,RAIL_TRANS,PAX_KM_NO_T,40
2020,RAIL_TRANS,PAX_KM_NO_T,10
2021,RAIL_TRANS,PAX_KM_NO_T,15
2022,RAIL_TRANS,PAX_KM_NO_T,27
2023,RAIL_TRANS,PAX_KM_NO_T,29
2013,RAIL_TRANS,T_GOODS_NO_T,8.168
2014,RAIL_TRANS,T_GOODS_NO_T,8.497
2015,RAIL_TRANS,T_GOODS_NO_T,8.713
2016,RAIL_TRANS,T_GOODS_NO_T,8.739
2017,RAIL_TRANS,T_GOODS_NO_T,8.725
2018,RAIL_TRANS,T_GOODS_NO_T,8.945
2019,RAIL_TRANS,T_GOODS_NO_T,8.971
2020,RAIL_TRANS,T_GOODS_NO_T,7.616
2021,RAIL_TRANS,T_GOODS_NO_T,7.920
2022,RAIL_TRANS,T_GOODS_NO_T,7.894
2023,RAIL_TRANS,T_GOODS_NO_T,6.990
2013,RAIL_TRANS,T_KM_NO_T,787
2014,RAIL_TRANS,T_KM_NO_T,885
2015,RAIL_TRANS,T_KM_NO_T,835
2016,RAIL_TRANS,T_KM_NO_T,768
2017,RAIL_TRANS,T_KM_NO_T,730
2018,RAIL_TRANS,T_KM_NO_T,807
2019,RAIL_TRANS,T_KM_NO_T,856
2020,RAIL_TRANS,T_KM_NO_T,667
2021,RAIL_TRANS,T_KM_NO_T,801
2022,RAIL_TRANS,T_KM_NO_T,834
2023,RAIL_TRANS,T_KM_NO_T,890
2013,ROAD_TRANS,T_PAX,20.008
2014,ROAD_TRANS,T_PAX,12.005
2015,ROAD_TRANS,T_PAX,10.975
2016,ROAD_TRANS,T_PAX,10.552
2017,ROAD_TRANS,T_PAX,9.480
2018,ROAD_TRANS,T_PAX,8.232
2019,ROAD_TRANS,T_PAX,7.673
2020,ROAD_TRANS,T_PAX,4.119
2021,ROAD_TRANS,T_PAX,5.441
2022,ROAD_TRANS,T_PAX,6.231
2023,ROAD_TRANS,T_PAX,6.067
2013,ROAD_TRANS,PAX_KM_NO_T,1.279
2014,ROAD_TRANS,PAX_KM_NO_T,1.227
2015,ROAD_TRANS,PAX_KM_NO_T,1.292
2016,ROAD_TRANS,PAX_KM_NO_T,1.326
2017,ROAD_TRANS,PAX_KM_NO_T,1.245
2018,ROAD_TRANS,PAX_KM_NO_T,1.322
2019,ROAD_TRANS,PAX_KM_NO_T,1.390
2020,ROAD_TRANS,PAX_KM_NO_T,535
2021,ROAD_TRANS,PAX_KM_NO_T,713
2022,ROAD_TRANS,PAX_KM_NO_T,1021
2023,ROAD_TRANS,PAX_KM_NO_T,1.067
2013,ROAD_TRANS,T_GOODS_NO_T,4.164
2014,ROAD_TRANS,T_GOODS_NO_T,4.686
2015,ROAD_TRANS,T_GOODS_NO_T,5.770
2016,ROAD_TRANS,T_GOODS_NO_T,5.855
2017,ROAD_TRANS,T_GOODS_NO_T,6.103
2018,ROAD_TRANS,T_GOODS_NO_T,6.254
2019,ROAD_TRANS,T_GOODS_NO_T,6.325
2020,ROAD_TRANS,T_GOODS_NO_T,5.849
2021,ROAD_TRANS,T_GOODS_NO_T,6.022
2022,ROAD_TRANS,T_GOODS_NO_T,6.645
2023,ROAD_TRANS,T_GOODS_NO_T,6.981
2013,ROAD_TRANS,T_KM_NO_T,1.638
2014,ROAD_TRANS,T_KM_NO_T,2.050
2015,ROAD_TRANS,T_KM_NO_T,2.448
2016,ROAD_TRANS,T_KM_NO_T,2.674
2017,ROAD_TRANS,T_KM_NO_T,2.735
2018,ROAD_TRANS,T_KM_NO_T,2.836
2019,ROAD_TRANS,T_KM_NO_T,2.903
2020,ROAD_TRANS,T_KM_NO_T,2.555
2021,ROAD_TRANS,T_KM_NO_T,2.981
2022,ROAD_TRANS,T_KM_NO_T,3.208
2023,ROAD_TRANS,T_KM_NO_T,3.212
2013,STRUCT_TRANS,T_RAIL,66.2
2014,STRUCT_TRANS,T_RAIL,64.5
2015,STRUCT_TRANS,T_RAIL,60.2
2016,STRUCT_TRANS,T_RAIL,59.9
2017,STRUCT_TRANS,T_RAIL,58.8
2018,STRUCT_TRANS,T_RAIL,58.9
2019,STRUCT_TRANS,T_RAIL,58.6
2020,STRUCT_TRANS,T_RAIL,56.6
2021,STRUCT_TRANS,T_RAIL,56.8
2022,STRUCT_TRANS,T_RAIL,54.3
2023,STRUCT_TRANS,T_RAIL,50.0
2013,STRUCT_TRANS,T_ROAD,33.8
2014,STRUCT_TRANS,T_ROAD,35.5
2015,STRUCT_TRANS,T_ROAD,39.8
2016,STRUCT_TRANS,T_ROAD,40.1
2017,STRUCT_TRANS,T_ROAD,41.2
2018,STRUCT_TRANS,T_ROAD,41.1
2019,STRUCT_TRANS,T_ROAD,41.4
2020,STRUCT_TRANS,T_ROAD,56.6
2021,STRUCT_TRANS,T_ROAD,56.8
2022,STRUCT_TRANS,T_ROAD,54.3
2023,STRUCT_TRANS,T_ROAD,50.0
,,,
,,,
