Year,SERIES,UNIT_MEASURE,ACTIVITY,Value
2013,NV_IND_MANF,PT,ISIC4_C,12.2
2014,NV_IND_MANF,PT,ISIC4_C,12.1
2015,NV_IND_MANF,PT,ISIC4_C,12.6
2016,NV_IND_MANF,PT,ISIC4_C,13.2
2017,NV_IND_MANF,PT,ISIC4_C,14.1
2018,NV_IND_MANF,PT,ISIC4_C,14.1
2019,NV_IND_MANF,PT,ISIC4_C,13.6
2020,NV_IND_MANF,PT,ISIC4_C,14.1
2021,NV_IND_MANF,PT,ISIC4_C,15.6
2022,NV_IND_MANF,PT,ISIC4_C,15.9
2013,NV_IND_MANFBDP,THOUSANDS,ISIC4_C,951.6
2014,NV_IND_MANFBDP,THOUSANDS,ISIC4_C,973.4
2015,NV_IND_MANFBDP,THOUSANDS,ISIC4_C,1065.9
2016,NV_IND_MANFBDP,THOUSANDS,ISIC4_C,1172.2
2017,NV_IND_MANFBDP,THOUSANDS,ISIC4_C,1312.8
2018,NV_IND_MANFBDP,THOUSANDS,ISIC4_C,1415.6
2019,NV_IND_MANFBDP,THOUSANDS,ISIC4_C,1435.6
2020,NV_IND_MANFBDP,THOUSANDS,ISIC4_C,1440.8
2021,NV_IND_MANFBDP,THOUSANDS,ISIC4_C,1818.5
2022,NV_IND_MANFBDP,THOUSANDS,ISIC4_C,2165.5
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
