Year,SERIES,UNIT_MEASURE,BURDEN,HOUSEHOLD,Degree of urbanisation,Value
2011,Proportion of population using basic drinking water services,Percent,,,Total,98.8
2015,Proportion of population using basic drinking water services,Percent,,,Total,99.7
2021/22,Proportion of population using basic drinking water services,Percent,,,Total,99.8
2011,Proportion of population using basic drinking water services,Percent,,,Urban,99.3
2015,Proportion of population using basic drinking water services,Percent,,,Urban,99.9
2021/22,Proportion of population using basic drinking water services,Percent,,,Urban,100.0
2011,Proportion of population using basic drinking water services,Percent,,,O,98.3
2015,Proportion of population using basic drinking water services,Percent,,,O,99.6
2021/22,Proportion of population using basic drinking water services,Percent,,,O,99.6
2011,SP_ACS_COST,Percent,HIGH_B,,,2.1
2015,SP_ACS_COST,Percent,HIGH_B,,,7.4
2021/22,SP_ACS_COST,Percent,HIGH_B,,,15.2
2011,SP_ACS_COST,Percent,CERTAIN_B,,,56.5
2015,SP_ACS_COST,Percent,CERTAIN_B,,,53.9
2021/22,SP_ACS_COST,Percent,CERTAIN_B,,,45.7
2011,SP_ACS_COST,Percent,NO_B,,,40.6
2015,SP_ACS_COST,Percent,NO_B,,,38.7
2021/22,SP_ACS_COST,Percent,NO_B,,,39.0
2011,SP_ACS_HEAT,Percent,,,,16.7
2015,SP_ACS_HEAT,Percent,,,,11.1
2021/22,SP_ACS_HEAT,Percent,,,,9.2
2011,SP_ACS_HOUSE,Percent,,LIGHT_P,,7.5
2015,SP_ACS_HOUSE,Percent,,LIGHT_P,,5.6
2021/22,SP_ACS_HOUSE,Percent,,LIGHT_P,,3.1
2011,SP_ACS_HOUSE,Percent,,HEAT_P,,16.7
2015,SP_ACS_HOUSE,Percent,,HEAT_P,,11.1
2021/22,SP_ACS_HOUSE,Percent,,HEAT_P,,9.2
2011,SP_ACS_HOUSE,Percent,,ROT_P,,14.3
2015,SP_ACS_HOUSE,Percent,,ROT_P,,12.5
2021/22,SP_ACS_HOUSE,Percent,,ROT_P,,3.7
2011,SP_ACS_HOUSE,Percent,,HUMID_P,,16.7
2015,SP_ACS_HOUSE,Percent,,HUMID_P,,14.3
2021/22,SP_ACS_HOUSE,Percent,,HUMID_P,,6.5
2011,SP_ACS_HOUSE,Percent,,RAIN_P,,9.0
2015,SP_ACS_HOUSE,Percent,,RAIN_P,,7.1
2021/22,SP_ACS_HOUSE,Percent,,RAIN_P,,2.3
,,,,,,
