Year,SERIES,UNIT_MEASURE,SORT,Sex,Value
2020.0,VC_HTF_OFF,Number,OFF_TOT,,10.0
2021.0,VC_HTF_OFF,Number,OFF_TOT,,1.0
2022.0,VC_HTF_OFF,Number,OFF_TOT,,3.0
2023.0,VC_HTF_OFF,Number,OFF_TOT,,1.0
2020.0,VC_HTF_OFF,Number,HUM_TRAF,,1.0
2021.0,VC_HTF_OFF,Number,HUM_TRAF,,1.0
2022.0,VC_HTF_OFF,Number,HUM_TRAF,,3.0
2023.0,VC_HTF_OFF,Number,HUM_TRAF,,1.0
2020.0,VC_HTF_OFF,Number,ORG_HUM_TRAF,,9.0
2021.0,VC_HTF_OFF,Number,ORG_HUM_TRAF,,0.0
2022.0,VC_HTF_OFF,Number,ORG_HUM_TRAF,,0.0
2023.0,VC_HTF_OFF,Number,ORG_HUM_TRAF,,0.0
2020.0,VC_HTF_OFF,Number,TOT_VICTIM,,6.0
2021.0,VC_HTF_OFF,Number,TOT_VICTIM,,0.0
2022.0,VC_HTF_OFF,Number,TOT_VICTIM,,0.0
2023.0,VC_HTF_OFF,Number,TOT_VICTIM,,1.0
2020.0,VC_HTF_OFF,Number,TOT_VICTIM,Male,3.0
2021.0,VC_HTF_OFF,Number,TOT_VICTIM,Male,0.0
2022.0,VC_HTF_OFF,Number,TOT_VICTIM,Male,0.0
2023.0,VC_HTF_OFF,Number,TOT_VICTIM,Male,0.0
2020.0,VC_HTF_OFF,Number,TOT_VICTIM,Female,3.0
2021.0,VC_HTF_OFF,Number,TOT_VICTIM,Female,0.0
2022.0,VC_HTF_OFF,Number,TOT_VICTIM,Female,0.0
2023.0,VC_HTF_OFF,Number,TOT_VICTIM,Female,1.0
,,,,,
,,,,,
