Year,SERIES,UNIT_MEASURE,Value
2013.0,"Tuberculosis incidence (per 100,000 population)","Per 100,000 population",4.2
2014.0,"Tuberculosis incidence (per 100,000 population)","Per 100,000 population",3.7
2015.0,"Tuberculosis incidence (per 100,000 population)","Per 100,000 population",4.3
2016.0,"Tuberculosis incidence (per 100,000 population)","Per 100,000 population",3.1
2017.0,"Tuberculosis incidence (per 100,000 population)","Per 100,000 population",2.3
2018.0,"Tuberculosis incidence (per 100,000 population)","Per 100,000 population",2.2
2019.0,"Tuberculosis incidence (per 100,000 population)","Per 100,000 population",2.4
2020.0,"Tuberculosis incidence (per 100,000 population)","Per 100,000 population",1.7
2021.0,"Tuberculosis incidence (per 100,000 population)","Per 100,000 population",1.0
2022.0,"Tuberculosis incidence (per 100,000 population)","Per 100,000 population",1.4
,,,
