Year,SERIES,Education level,Value
2018/19,SE_TOT_PSCH,PRIMARFIRST,20.288
2019/20,SE_TOT_PSCH,PRIMARFIRST,19.079
2020/21,SE_TOT_PSCH,PRIMARFIRST,18.703
2021/22,SE_TOT_PSCH,PRIMARFIRST,18.141
2022/23,SE_TOT_PSCH,PRIMARFIRST,18.366
2018/19,SE_TOT_PSCH,PRIMARFIN,21.234
2019/20,SE_TOT_PSCH,PRIMARFIN,20.818
2020/21,SE_TOT_PSCH,PRIMARFIN,19.934
2021/22,SE_TOT_PSCH,PRIMARFIN,19.436
2022/23,SE_TOT_PSCH,PRIMARFIN,18.992
2018/19,SE_TOT_HSCH,HIGHFIRST,18.756
2019/20,SE_TOT_HSCH,HIGHFIRST,20.072
2020/21,SE_TOT_HSCH,HIGHFIRST,19.663
2021/22,SE_TOT_HSCH,HIGHFIRST,18.998
2022/23,SE_TOT_HSCH,HIGHFIRST,18.978
2018/19,SE_TOT_HSCH,HIGHFIN,21.631
2019/20,SE_TOT_HSCH,HIGHFIN,21.304
2020/21,SE_TOT_HSCH,HIGHFIN,20.556
2021/22,SE_TOT_HSCH,HIGHFIN,18.898
2022/23,SE_TOT_HSCH,HIGHFIN,16.711
,,,
,,,
,,,
,,,
,,,
,,,
,,,
