Year,SERIES,UNIT_MEASURE,Sex,Age,Education level,Value
2013.0,POP_EDU,Percent,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,NO_EDU,4.4
2013.0,POP_EDU,Percent,Male,All age ranges or no breakdown by age,NO_EDU,1.5
2013.0,POP_EDU,Percent,Female,All age ranges or no breakdown by age,NO_EDU,7.2
2013.0,POP_EDU,Percent,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,INC_PRIM_EDU,9.0
2013.0,POP_EDU,Percent,Male,All age ranges or no breakdown by age,INC_PRIM_EDU,5.1
2013.0,POP_EDU,Percent,Female,All age ranges or no breakdown by age,INC_PRIM_EDU,12.7
2013.0,POP_EDU,Percent,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,Primary education,21.5
2013.0,POP_EDU,Percent,Male,All age ranges or no breakdown by age,Primary education,18.4
2013.0,POP_EDU,Percent,Female,All age ranges or no breakdown by age,Primary education,24.6
2013.0,POP_EDU,Percent,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,MID_SCH,51.1
2013.0,POP_EDU,Percent,Male,All age ranges or no breakdown by age,MID_SCH,60.5
2013.0,POP_EDU,Percent,Female,All age ranges or no breakdown by age,MID_SCH,42.3
2013.0,POP_EDU,Percent,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,UNI_SCH,10.1
2013.0,POP_EDU,Percent,Male,All age ranges or no breakdown by age,UNI_SCH,9.9
2013.0,POP_EDU,Percent,Female,All age ranges or no breakdown by age,UNI_SCH,10.3
2013.0,POP_EDU,Percent,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,SPEC_HIGH,0.7
2013.0,POP_EDU,Percent,Male,All age ranges or no breakdown by age,SPEC_HIGH,1.2
2013.0,POP_EDU,Percent,Female,All age ranges or no breakdown by age,SPEC_HIGH,0.2
2013.0,POP_EDU,Percent,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,HIGH_SCH,3.0
2013.0,POP_EDU,Percent,Male,All age ranges or no breakdown by age,HIGH_SCH,3.4
2013.0,POP_EDU,Percent,Female,All age ranges or no breakdown by age,HIGH_SCH,2.7
2013.0,POP_HIGH_EDU,Percent,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,,10.8
2013.0,POP_HIGH_EDU,Percent,Male,All age ranges or no breakdown by age,,10.6
2013.0,POP_HIGH_EDU,Percent,Female,All age ranges or no breakdown by age,,11.0
2013.0,POP_HIGH_EDU,Percent,Both sexes or no breakdown by sex,Y20T29,,20.0
2013.0,POP_HIGH_EDU,Percent,Male,Y20T29,,15.0
2013.0,POP_HIGH_EDU,Percent,Female,Y20T29,,25.2
2013.0,POP_HIGH_EDU,Percent,Both sexes or no breakdown by sex,Y30T39,,16.5
2013.0,POP_HIGH_EDU,Percent,Male,Y30T39,,14.0
2013.0,POP_HIGH_EDU,Percent,Female,Y30T39,,19.1
2013.0,POP_HIGH_EDU,Percent,Both sexes or no breakdown by sex,Y40T49,,9.1
2013.0,POP_HIGH_EDU,Percent,Male,Y40T49,,9.1
2013.0,POP_HIGH_EDU,Percent,Female,Y40T49,,9.1
2013.0,POP_HIGH_EDU,Percent,Both sexes or no breakdown by sex,Y50T59,,9.2
2013.0,POP_HIGH_EDU,Percent,Male,Y50T59,,10.8
2013.0,POP_HIGH_EDU,Percent,Female,Y50T59,,7.6
2013.0,POP_HIGH_EDU,Percent,Both sexes or no breakdown by sex,Y60T69,,5.0
2013.0,POP_HIGH_EDU,Percent,Male,Y60T69,,6.6
2013.0,POP_HIGH_EDU,Percent,Female,Y60T69,,3.5
2013.0,POP_HIGH_EDU,Percent,Both sexes or no breakdown by sex,Y_GE70,,3.8
2013.0,POP_HIGH_EDU,Percent,Male,Y_GE70,,6.5
2013.0,POP_HIGH_EDU,Percent,Female,Y_GE70,,1.9
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
