Year,SERIES,UNIT_MEASURE,Type of waste treatment,Value
2013.0,EN_WWT_WATER,T_M3,,2.871
2014.0,EN_WWT_WATER,T_M3,,2.844
2015.0,EN_WWT_WATER,T_M3,,3.424
2016.0,EN_WWT_WATER,T_M3,,52.823
2017.0,EN_WWT_WATER,T_M3,,52.438
2018.0,EN_WWT_WATER,T_M3,,51.214
2019.0,EN_WWT_WATER,T_M3,,54.04
2020.0,EN_WWT_WATER,T_M3,,48.613
2021.0,EN_WWT_WATER,T_M3,,35.982
2022.0,EN_WWT_WATER,T_M3,,40.549
2013.0,EN_WWT_DIV_W,Percent,PUR,4.5
2014.0,EN_WWT_DIV_W,Percent,PUR,4.7
2015.0,EN_WWT_DIV_W,Percent,PUR,5.5
2016.0,EN_WWT_DIV_W,Percent,PUR,56.2
2017.0,EN_WWT_DIV_W,Percent,PUR,55.4
2018.0,EN_WWT_DIV_W,Percent,PUR,57.3
2019.0,EN_WWT_DIV_W,Percent,PUR,59.9
2020.0,EN_WWT_DIV_W,Percent,PUR,55.8
2021.0,EN_WWT_DIV_W,Percent,PUR,49.0
2022.0,EN_WWT_DIV_W,Percent,PUR,52.7
2013.0,EN_WWT_DIV_W,Percent,UNPUR,95.5
2014.0,EN_WWT_DIV_W,Percent,UNPUR,95.3
2015.0,EN_WWT_DIV_W,Percent,UNPUR,94.5
2016.0,EN_WWT_DIV_W,Percent,UNPUR,43.8
2017.0,EN_WWT_DIV_W,Percent,UNPUR,44.6
2018.0,EN_WWT_DIV_W,Percent,UNPUR,42.7
2019.0,EN_WWT_DIV_W,Percent,UNPUR,40.1
2020.0,EN_WWT_DIV_W,Percent,UNPUR,44.2
2021.0,EN_WWT_DIV_W,Percent,UNPUR,51.0
2022.0,EN_WWT_DIV_W,Percent,UNPUR,47.3
,,,,
