Year,SERIES,UNIT_MEASURE,SORT,Value
2013,"Number of automated teller machines (ATMs) per 100,000 adults",Number,,57.4
2014,"Number of automated teller machines (ATMs) per 100,000 adults",Number,,60.4
2015,"Number of automated teller machines (ATMs) per 100,000 adults",Number,,63.5
2016,"Number of automated teller machines (ATMs) per 100,000 adults",Number,,64.8
2017,"Number of automated teller machines (ATMs) per 100,000 adults",Number,,65.3
2018,"Number of automated teller machines (ATMs) per 100,000 adults",Number,,67.1
2019,"Number of automated teller machines (ATMs) per 100,000 adults",Number,,71.2
2020,"Number of automated teller machines (ATMs) per 100,000 adults",Number,,71.3
2021,"Number of automated teller machines (ATMs) per 100,000 adults",Number,,70.9
2022,"Number of automated teller machines (ATMs) per 100,000 adults",Number,,71.9
2013,"Number of automated teller machines (ATMs) per 100,000 adults",Number,_T,1.012
2014,"Number of automated teller machines (ATMs) per 100,000 adults",Number,_T,1.072
2015,"Number of automated teller machines (ATMs) per 100,000 adults",Number,_T,1.133
2016,"Number of automated teller machines (ATMs) per 100,000 adults",Number,_T,1.161
2017,"Number of automated teller machines (ATMs) per 100,000 adults",Number,_T,1.172
2018,"Number of automated teller machines (ATMs) per 100,000 adults",Number,_T,1.207
2019,"Number of automated teller machines (ATMs) per 100,000 adults",Number,_T,1.281
2020,"Number of automated teller machines (ATMs) per 100,000 adults",Number,_T,1.285
2021,"Number of automated teller machines (ATMs) per 100,000 adults",Number,_T,1.27
2022,"Number of automated teller machines (ATMs) per 100,000 adults",Number,_T,1.284
2013,"Number of commercial bank branches per 100,000 adults",Number,BANKS_FBIH,32.9
2014,"Number of commercial bank branches per 100,000 adults",Number,BANKS_FBIH,32.2
2015,"Number of commercial bank branches per 100,000 adults",Number,BANKS_FBIH,31.2
2016,"Number of commercial bank branches per 100,000 adults",Number,BANKS_FBIH,30.7
2017,"Number of commercial bank branches per 100,000 adults",Number,BANKS_FBIH,30.8
2018,"Number of commercial bank branches per 100,000 adults",Number,BANKS_FBIH,30.5
2019,"Number of commercial bank branches per 100,000 adults",Number,BANKS_FBIH,29.6
2020,"Number of commercial bank branches per 100,000 adults",Number,BANKS_FBIH,29.5
2021,"Number of commercial bank branches per 100,000 adults",Number,BANKS_FBIH,29.4
2022,"Number of commercial bank branches per 100,000 adults",Number,BANKS_FBIH,28.5
2013,"Number of commercial bank branches per 100,000 adults",Number,BANKS_RS_FBIH,1.5
2014,"Number of commercial bank branches per 100,000 adults",Number,BANKS_RS_FBIH,1.8
2015,"Number of commercial bank branches per 100,000 adults",Number,BANKS_RS_FBIH,2.0
2016,"Number of commercial bank branches per 100,000 adults",Number,BANKS_RS_FBIH,1.2
