Year,SERIES,UNIT_MEASURE,Sex,Age,Value
2013.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Both sexes or no breakdown by sex,,27.6
2014.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Both sexes or no breakdown by sex,,28.4
2015.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Both sexes or no breakdown by sex,,29.1
2016.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Both sexes or no breakdown by sex,,25.6
2017.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Both sexes or no breakdown by sex,,20.0
2018.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Both sexes or no breakdown by sex,,19.2
2019.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Both sexes or no breakdown by sex,,18.4
2020.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Both sexes or no breakdown by sex,,17.5
2021.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Both sexes or no breakdown by sex,,18.9
2022.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Both sexes or no breakdown by sex,,17.2
2013.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Male,,27.1
2014.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Male,,25.7
2015.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Male,,27.1
2016.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Male,,22.9
2017.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Male,,19.2
2018.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Male,,17.8
2019.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Male,,16.3
2020.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Male,,14.7
2021.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Male,,15.0
2022.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Male,,14.1
2013.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Female,,28.4
2014.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Female,,32.7
2015.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Female,,32.4
2016.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Female,,30.1
2017.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Female,,21.5
2018.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Female,,21.5
2019.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Female,,21.7
2020.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Female,,22.3
2021.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Female,,25.5
2022.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,Female,,22.4
2013.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,15 to 24 years old,58.9
2014.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,15 to 24 years old,65.3
2015.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,15 to 24 years old,64.9
2016.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,15 to 24 years old,55.1
2017.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,15 to 24 years old,45.2
2018.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,15 to 24 years old,41.0
2019.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,15 to 24 years old,39.0
2020.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,15 to 24 years old,40.3
2021.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,15 to 24 years old,41.0
2022.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,15 to 24 years old,37.4
2013.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,Y25T49,25.7
2014.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,Y25T49,26.8
2015.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,Y25T49,27.3
2016.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,Y25T49,25.2
2017.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,Y25T49,19.7
2018.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,Y25T49,19.6
2019.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,Y25T49,19.4
2020.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,Y25T49,15.8
2021.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,Y25T49,17.3
2022.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,Y25T49,16.0
2013.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,15 to 64 years old,26.8
2014.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,15 to 64 years old,27.1
2015.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,15 to 64 years old,27.7
2016.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,15 to 64 years old,25.7
2017.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,15 to 64 years old,20.2
2018.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,15 to 64 years old,19.4
2019.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,15 to 64 years old,18.7
2020.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,15 to 64 years old,17.6
2021.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,15 to 64 years old,18.9
2022.0,"Unemployment rate, by sex and age - 13th ICLS (%)",Percent,,15 to 64 years old,17.3
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
