Year,SERIES,UNIT_MEASURE,Economic activity,Value
2013.0,Manufacturing value added (constant 2015 United States dollars) as a proportion of GDP (%),Percent,Manufacturing,12.2
2014.0,Manufacturing value added (constant 2015 United States dollars) as a proportion of GDP (%),Percent,Manufacturing,12.1
2015.0,Manufacturing value added (constant 2015 United States dollars) as a proportion of GDP (%),Percent,Manufacturing,12.6
2016.0,Manufacturing value added (constant 2015 United States dollars) as a proportion of GDP (%),Percent,Manufacturing,13.2
2017.0,Manufacturing value added (constant 2015 United States dollars) as a proportion of GDP (%),Percent,Manufacturing,14.1
2018.0,Manufacturing value added (constant 2015 United States dollars) as a proportion of GDP (%),Percent,Manufacturing,14.1
2019.0,Manufacturing value added (constant 2015 United States dollars) as a proportion of GDP (%),Percent,Manufacturing,13.6
2020.0,Manufacturing value added (constant 2015 United States dollars) as a proportion of GDP (%),Percent,Manufacturing,14.1
2021.0,Manufacturing value added (constant 2015 United States dollars) as a proportion of GDP (%),Percent,Manufacturing,15.6
2022.0,Manufacturing value added (constant 2015 United States dollars) as a proportion of GDP (%),Percent,Manufacturing,15.9
2013.0,NV_IND_MANFBDP,THOUSANDS,Manufacturing,951.6
2014.0,NV_IND_MANFBDP,THOUSANDS,Manufacturing,973.4
2015.0,NV_IND_MANFBDP,THOUSANDS,Manufacturing,1065.9
2016.0,NV_IND_MANFBDP,THOUSANDS,Manufacturing,1172.2
2017.0,NV_IND_MANFBDP,THOUSANDS,Manufacturing,1312.8
2018.0,NV_IND_MANFBDP,THOUSANDS,Manufacturing,1415.6
2019.0,NV_IND_MANFBDP,THOUSANDS,Manufacturing,1435.6
2020.0,NV_IND_MANFBDP,THOUSANDS,Manufacturing,1440.8
2021.0,NV_IND_MANFBDP,THOUSANDS,Manufacturing,1818.5
2022.0,NV_IND_MANFBDP,THOUSANDS,Manufacturing,2165.5
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
