Year,Value,UNIT_MEASURE,SERIES
2013.0,5.4,"Per 100,000 population","Death rate due to road traffic injuries, by sex (per 100,000 population)"
2014.0,5.6,"Per 100,000 population","Death rate due to road traffic injuries, by sex (per 100,000 population)"
2015.0,5.0,"Per 100,000 population","Death rate due to road traffic injuries, by sex (per 100,000 population)"
2016.0,5.9,"Per 100,000 population","Death rate due to road traffic injuries, by sex (per 100,000 population)"
2017.0,4.7,"Per 100,000 population","Death rate due to road traffic injuries, by sex (per 100,000 population)"
2018.0,5.0,"Per 100,000 population","Death rate due to road traffic injuries, by sex (per 100,000 population)"
2019.0,4.7,"Per 100,000 population","Death rate due to road traffic injuries, by sex (per 100,000 population)"
2020.0,4.3,"Per 100,000 population","Death rate due to road traffic injuries, by sex (per 100,000 population)"
2021.0,4.1,"Per 100,000 population","Death rate due to road traffic injuries, by sex (per 100,000 population)"
2022.0,3.0,"Per 100,000 population","Death rate due to road traffic injuries, by sex (per 100,000 population)"
2013.0,26.698,,SH_STA_TOT
2014.0,27.578,,SH_STA_TOT
2015.0,28.982,,SH_STA_TOT
2016.0,29.321,,SH_STA_TOT
2017.0,27.72,,SH_STA_TOT
2018.0,25.905,,SH_STA_TOT
2019.0,24.093,,SH_STA_TOT
2020.0,20.378,,SH_STA_TOT
2021.0,20.522,,SH_STA_TOT
2022.0,21.339,,SH_STA_TOT
2013.0,184.0,,SH_STA_KILL
2014.0,159.0,,SH_STA_KILL
2015.0,186.0,,SH_STA_KILL
2016.0,188.0,,SH_STA_KILL
2017.0,176.0,,SH_STA_KILL
2018.0,143.0,,SH_STA_KILL
2019.0,139.0,,SH_STA_KILL
2020.0,138.0,,SH_STA_KILL
2021.0,158.0,,SH_STA_KILL
2022.0,117.0,,SH_STA_KILL
2013.0,8.3,"Per 100,000 population",SH_STA_NUM_D
2014.0,7.2,"Per 100,000 population",SH_STA_NUM_D
2015.0,8.4,"Per 100,000 population",SH_STA_NUM_D
2016.0,8.5,"Per 100,000 population",SH_STA_NUM_D
2017.0,8.0,"Per 100,000 population",SH_STA_NUM_D
2018.0,6.5,"Per 100,000 population",SH_STA_NUM_D
2019.0,6.3,"Per 100,000 population",SH_STA_NUM_D
2020.0,6.3,"Per 100,000 population",SH_STA_NUM_D
2021.0,7.3,"Per 100,000 population",SH_STA_NUM_D
2022.0,5.4,"Per 100,000 population",SH_STA_NUM_D
,,,
