Year,Value,UNIT_MEASURE,SERIES
2013.0,57.4,Number,"Number of automated teller machines (ATMs) per 100,000 adults"
2014.0,60.4,Number,"Number of automated teller machines (ATMs) per 100,000 adults"
2015.0,63.5,Number,"Number of automated teller machines (ATMs) per 100,000 adults"
2016.0,64.8,Number,"Number of automated teller machines (ATMs) per 100,000 adults"
2017.0,65.3,Number,"Number of automated teller machines (ATMs) per 100,000 adults"
2018.0,67.1,Number,"Number of automated teller machines (ATMs) per 100,000 adults"
2019.0,71.2,Number,"Number of automated teller machines (ATMs) per 100,000 adults"
2020.0,71.3,Number,"Number of automated teller machines (ATMs) per 100,000 adults"
2021.0,70.9,Number,"Number of automated teller machines (ATMs) per 100,000 adults"
2022.0,71.9,Number,"Number of automated teller machines (ATMs) per 100,000 adults"
,,Number,
,,Number,
,,Number,
,,Number,
,,Number,
,,Number,
,,Number,
,,Number,
,,Number,
,,Number,
,,Number,
,,Number,
,,Number,
,,Number,
,,Number,
,,Number,
,,Number,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
