Year,SERIES,Godine,Spol,UNIT_MEASURE,Value
2013.0,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene,,,Postotak,4.9
2014.0,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene,,,Postotak,5.0
2015.0,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene,,,Postotak,4.9
2016.0,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene,,,Postotak,5.1
2017.0,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene,,,Postotak,4.9
2018.0,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene,,,Postotak,4.8
2019.0,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene,,,Postotak,4.7
2020.0,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene,,,Postotak,4.7
2021.0,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene,,,Postotak,4.6
2022.0,Udio nezaposlenih koji primaju novčanu naknadu za nezaposlene,,,Postotak,5.1
2013.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,Ispod 18 godina,Muškarci,Postotak,39.724
2014.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,Ispod 18 godina,Muškarci,Postotak,41.589
2015.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,Ispod 18 godina,Muškarci,Postotak,40.91
2016.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,Ispod 18 godina,Muškarci,Postotak,42.879
2017.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,Ispod 18 godina,Muškarci,Postotak,41.978
2018.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,Ispod 18 godina,Muškarci,Postotak,42.632
2019.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,Ispod 18 godina,Muškarci,Postotak,41.905
2020.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,Ispod 18 godina,Muškarci,Postotak,41.242
2021.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,Ispod 18 godina,Muškarci,Postotak,38.859
2022.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,Ispod 18 godina,Muškarci,Postotak,38.943
2013.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,18 godina i više,Muškarci,Postotak,114.513
2014.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,18 godina i više,Muškarci,Postotak,121.558
2015.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,18 godina i više,Muškarci,Postotak,119.05
2016.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,18 godina i više,Muškarci,Postotak,123.733
2017.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,18 godina i više,Muškarci,Postotak,130.066
2018.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,18 godina i više,Muškarci,Postotak,135.6
2019.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,18 godina i više,Muškarci,Postotak,135.695
2020.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,18 godina i više,Muškarci,Postotak,137.063
2021.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,18 godina i više,Muškarci,Postotak,138.055
2022.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,18 godina i više,Muškarci,Postotak,131.873
2013.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,Ispod 18 godina,Žene,Postotak,34.816
2014.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,Ispod 18 godina,Žene,Postotak,37.123
2015.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,Ispod 18 godina,Žene,Postotak,35.725
2016.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,Ispod 18 godina,Žene,Postotak,35.626
2017.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,Ispod 18 godina,Žene,Postotak,35.14
2018.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,Ispod 18 godina,Žene,Postotak,36.268
2019.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,Ispod 18 godina,Žene,Postotak,35.827
2020.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,Ispod 18 godina,Žene,Postotak,35.44
2021.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,Ispod 18 godina,Žene,Postotak,34.416
2022.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,Ispod 18 godina,,Postotak,35.677
2013.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,18 godina i više,Žene,Postotak,119.813
2014.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,18 godina i više,Žene,Postotak,132.081
2015.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,18 godina i više,Žene,Postotak,124.415
2016.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,18 godina i više,Žene,Postotak,133.755
2017.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,18 godina i više,Žene,Postotak,122.188
2018.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,18 godina i više,Žene,Postotak,127.329
2019.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,18 godina i više,Žene,Postotak,123.576
2020.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,18 godina i više,Žene,Postotak,135.778
2021.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,18 godina i više,Žene,Postotak,133.0
2022.0,Udio stanovništva obuhvaćenog programima socijalne skrbi,18 godina i više,Žene,Postotak,135.627
,,,,,
