Year,SERIES,UNIT_MEASURE,BURDEN,HOUSEHOLD,Stupanj urbanizacije,Value
2011,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,,,Ukupno,98.8
2015,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,,,Ukupno,99.7
2021/22,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,,,Ukupno,99.8
2011,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,,,Urbano,99.3
2015,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,,,Urbano,99.9
2021/22,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,,,Urbano,100.0
2011,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,,,O,98.3
2015,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,,,O,99.6
2021/22,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,,,O,99.6
2011,SP_ACS_COST,Postotak,HIGH_B,,,2.1
2015,SP_ACS_COST,Postotak,HIGH_B,,,7.4
2021/22,SP_ACS_COST,Postotak,HIGH_B,,,15.2
2011,SP_ACS_COST,Postotak,CERTAIN_B,,,56.5
2015,SP_ACS_COST,Postotak,CERTAIN_B,,,53.9
2021/22,SP_ACS_COST,Postotak,CERTAIN_B,,,45.7
2011,SP_ACS_COST,Postotak,NO_B,,,40.6
2015,SP_ACS_COST,Postotak,NO_B,,,38.7
2021/22,SP_ACS_COST,Postotak,NO_B,,,39.0
2011,SP_ACS_HEAT,Postotak,,,,16.7
2015,SP_ACS_HEAT,Postotak,,,,11.1
2021/22,SP_ACS_HEAT,Postotak,,,,9.2
2011,SP_ACS_HOUSE,Postotak,,LIGHT_P,,7.5
2015,SP_ACS_HOUSE,Postotak,,LIGHT_P,,5.6
2021/22,SP_ACS_HOUSE,Postotak,,LIGHT_P,,3.1
2011,SP_ACS_HOUSE,Postotak,,HEAT_P,,16.7
2015,SP_ACS_HOUSE,Postotak,,HEAT_P,,11.1
2021/22,SP_ACS_HOUSE,Postotak,,HEAT_P,,9.2
2011,SP_ACS_HOUSE,Postotak,,ROT_P,,14.3
2015,SP_ACS_HOUSE,Postotak,,ROT_P,,12.5
2021/22,SP_ACS_HOUSE,Postotak,,ROT_P,,3.7
2011,SP_ACS_HOUSE,Postotak,,HUMID_P,,16.7
2015,SP_ACS_HOUSE,Postotak,,HUMID_P,,14.3
2021/22,SP_ACS_HOUSE,Postotak,,HUMID_P,,6.5
2011,SP_ACS_HOUSE,Postotak,,RAIN_P,,9.0
2015,SP_ACS_HOUSE,Postotak,,RAIN_P,,7.1
2021/22,SP_ACS_HOUSE,Postotak,,RAIN_P,,2.3
,,,,,,
