Year,SERIES,UNIT_MEASURE,SORT,Value
2013.0,EN_REF_GEN_W,Tone,TOT_WASTE,629.455
2014.0,EN_REF_GEN_W,Tone,TOT_WASTE,653.895
2015.0,EN_REF_GEN_W,Tone,TOT_WASTE,657.499
2016.0,EN_REF_GEN_W,Tone,TOT_WASTE,640.064
2017.0,EN_REF_GEN_W,Tone,TOT_WASTE,623.753
2018.0,EN_REF_GEN_W,Tone,TOT_WASTE,624.658
2019.0,EN_REF_GEN_W,Tone,TOT_WASTE,637.597
2020.0,EN_REF_GEN_W,Tone,TOT_WASTE,611.857
2021.0,EN_REF_GEN_W,Tone,TOT_WASTE,612.373
2022.0,EN_REF_GEN_W,Tone,TOT_WASTE,612.073
2013.0,EN_REF_GEN_W,Tone,TREAT_WASTE,226.0
2014.0,EN_REF_GEN_W,Tone,TREAT_WASTE,221.0
2015.0,EN_REF_GEN_W,Tone,TREAT_WASTE,714.0
2016.0,EN_REF_GEN_W,Tone,TREAT_WASTE,790.0
2017.0,EN_REF_GEN_W,Tone,TREAT_WASTE,792.0
2018.0,EN_REF_GEN_W,Tone,TREAT_WASTE,898.0
2019.0,EN_REF_GEN_W,Tone,TREAT_WASTE,3.927
2020.0,EN_REF_GEN_W,Tone,TREAT_WASTE,6.777
2021.0,EN_REF_GEN_W,Tone,TREAT_WASTE,4.301
2022.0,EN_REF_GEN_W,Tone,TREAT_WASTE,4.088
2013.0,EN_REF_GEN_W,Tone,SH_TR_W,0.0
2014.0,EN_REF_GEN_W,Tone,SH_TR_W,0.0
2015.0,EN_REF_GEN_W,Tone,SH_TR_W,0.1
2016.0,EN_REF_GEN_W,Tone,SH_TR_W,0.1
2017.0,EN_REF_GEN_W,Tone,SH_TR_W,0.1
2018.0,EN_REF_GEN_W,Tone,SH_TR_W,0.1
2019.0,EN_REF_GEN_W,Tone,SH_TR_W,0.6
2020.0,EN_REF_GEN_W,Tone,SH_TR_W,1.1
2021.0,EN_REF_GEN_W,Tone,SH_TR_W,0.7
2022.0,EN_REF_GEN_W,Tone,SH_TR_W,0.7
,,,,
,,,,
