Year,SERIES,UNIT_MEASURE,Value
2012.0,Proizvedeni opasni otpad (tone),Tone,8.039
2014.0,Proizvedeni opasni otpad (tone),Tone,6.617
2016.0,Proizvedeni opasni otpad (tone),Tone,9.726
2018.0,Proizvedeni opasni otpad (tone),Tone,8.987
2020.0,Proizvedeni opasni otpad (tone),Tone,5.756
2012.0,EN_WT_EXCMIN,KG_PEC_CAP,1452.8
2014.0,EN_WT_EXCMIN,KG_PEC_CAP,1616.3
2016.0,EN_WT_EXCMIN,KG_PEC_CAP,2472.6
2018.0,EN_WT_EXCMIN,KG_PEC_CAP,11534.0
2020.0,EN_WT_EXCMIN,KG_PEC_CAP,1543.9
2013.0,EN_WT_ECOMUN,KG_PEC_CAP,284.0
2014.0,EN_WT_ECOMUN,KG_PEC_CAP,296.0
2015.0,EN_WT_ECOMUN,KG_PEC_CAP,296.0
2016.0,EN_WT_ECOMUN,KG_PEC_CAP,290.0
2017.0,EN_WT_ECOMUN,KG_PEC_CAP,284.0
2018.0,EN_WT_ECOMUN,KG_PEC_CAP,284.0
2019.0,EN_WT_ECOMUN,KG_PEC_CAP,291.0
2020.0,EN_WT_ECOMUN,KG_PEC_CAP,280.0
2021.0,EN_WT_ECOMUN,KG_PEC_CAP,282.0
2022.0,EN_WT_ECOMUN,KG_PEC_CAP,284.0
,,,
