Year,SERIES,UNIT_MEASURE,SORT,Spol,Value
2020.0,VC_HTF_OFF,Broj,OFF_TOT,,10.0
2021.0,VC_HTF_OFF,Broj,OFF_TOT,,1.0
2022.0,VC_HTF_OFF,Broj,OFF_TOT,,3.0
2023.0,VC_HTF_OFF,Broj,OFF_TOT,,1.0
2020.0,VC_HTF_OFF,Broj,HUM_TRAF,,1.0
2021.0,VC_HTF_OFF,Broj,HUM_TRAF,,1.0
2022.0,VC_HTF_OFF,Broj,HUM_TRAF,,3.0
2023.0,VC_HTF_OFF,Broj,HUM_TRAF,,1.0
2020.0,VC_HTF_OFF,Broj,ORG_HUM_TRAF,,9.0
2021.0,VC_HTF_OFF,Broj,ORG_HUM_TRAF,,0.0
2022.0,VC_HTF_OFF,Broj,ORG_HUM_TRAF,,0.0
2023.0,VC_HTF_OFF,Broj,ORG_HUM_TRAF,,0.0
2020.0,VC_HTF_OFF,Broj,TOT_VICTIM,,6.0
2021.0,VC_HTF_OFF,Broj,TOT_VICTIM,,0.0
2022.0,VC_HTF_OFF,Broj,TOT_VICTIM,,0.0
2023.0,VC_HTF_OFF,Broj,TOT_VICTIM,,1.0
2020.0,VC_HTF_OFF,Broj,TOT_VICTIM,Muškarci,3.0
2021.0,VC_HTF_OFF,Broj,TOT_VICTIM,Muškarci,0.0
2022.0,VC_HTF_OFF,Broj,TOT_VICTIM,Muškarci,0.0
2023.0,VC_HTF_OFF,Broj,TOT_VICTIM,Muškarci,0.0
2020.0,VC_HTF_OFF,Broj,TOT_VICTIM,Žene,3.0
2021.0,VC_HTF_OFF,Broj,TOT_VICTIM,Žene,0.0
2022.0,VC_HTF_OFF,Broj,TOT_VICTIM,Žene,0.0
2023.0,VC_HTF_OFF,Broj,TOT_VICTIM,Žene,1.0
,,,,,
,,,,,
