Year,SERIES,UNIT_MEASURE,Godine,Spol,Razina obrazovanja,Stupanj urbanizacije,Value
2017.0,Udio pojedinaca koji koriste internet (%),Postotak,Y16T74,,,,65.1
2018.0,Udio pojedinaca koji koriste internet (%),Postotak,Y16T74,,,,69.7
2019.0,Udio pojedinaca koji koriste internet (%),Postotak,Y16T74,,,,68.6
2020.0,Udio pojedinaca koji koriste internet (%),Postotak,Y16T74,,,,73.4
2021.0,Udio pojedinaca koji koriste internet (%),Postotak,Y16T74,,,,72.5
2022.0,Udio pojedinaca koji koriste internet (%),Postotak,Y16T74,,,,77.1
2023.0,Udio pojedinaca koji koriste internet (%),Postotak,Y16T74,,,,81.3
2017.0,IT_USE_II99_DIV,Postotak,Y16T74,,,Urbano,71.0
2018.0,IT_USE_II99_DIV,Postotak,Y16T74,,,Urbano,74.6
2019.0,IT_USE_II99_DIV,Postotak,Y16T74,,,Urbano,67.6
2020.0,IT_USE_II99_DIV,Postotak,Y16T74,,,Urbano,76.2
2021.0,IT_USE_II99_DIV,Postotak,Y16T74,,,Urbano,76.9
2022.0,IT_USE_II99_DIV,Postotak,Y16T74,,,Urbano,79.2
2023.0,IT_USE_II99_DIV,Postotak,Y16T74,,,Urbano,81.5
2017.0,IT_USE_II99_DIV,Postotak,Y16T74,,,Ruralno,60.5
2018.0,IT_USE_II99_DIV,Postotak,Y16T74,,,Ruralno,65.0
2019.0,IT_USE_II99_DIV,Postotak,Y16T74,,,Ruralno,69.5
2020.0,IT_USE_II99_DIV,Postotak,Y16T74,,,Ruralno,71.3
2021.0,IT_USE_II99_DIV,Postotak,Y16T74,,,Ruralno,68.8
2022.0,IT_USE_II99_DIV,Postotak,Y16T74,,,Ruralno,75.3
2023.0,IT_USE_II99_DIV,Postotak,Y16T74,,,Ruralno,81.2
2017.0,IT_USE_II99_DIV,Postotak,Y16T74,Muškarci,,,66.8
2018.0,IT_USE_II99_DIV,Postotak,Y16T74,Muškarci,,,72.1
2019.0,IT_USE_II99_DIV,Postotak,Y16T74,Muškarci,,,72.0
2020.0,IT_USE_II99_DIV,Postotak,Y16T74,Muškarci,,,79.7
2021.0,IT_USE_II99_DIV,Postotak,Y16T74,Muškarci,,,74.8
2022.0,IT_USE_II99_DIV,Postotak,Y16T74,Muškarci,,,79.5
2023.0,IT_USE_II99_DIV,Postotak,Y16T74,Muškarci,,,81.4
2017.0,IT_USE_II99_DIV,Postotak,Y16T74,Žene,,,63.1
2018.0,IT_USE_II99_DIV,Postotak,Y16T74,Žene,,,68.1
2019.0,IT_USE_II99_DIV,Postotak,Y16T74,Žene,,,66.1
2020.0,IT_USE_II99_DIV,Postotak,Y16T74,Žene,,,68.9
2021.0,IT_USE_II99_DIV,Postotak,Y16T74,Žene,,,70.6
2022.0,IT_USE_II99_DIV,Postotak,Y16T74,Žene,,,74.9
2023.0,IT_USE_II99_DIV,Postotak,Y16T74,Žene,,,81.2
2017.0,IT_USE_II99_DIV,Postotak,Y16T74,,Osnovno obrazovanje,,36.3
2018.0,IT_USE_II99_DIV,Postotak,Y16T74,,Osnovno obrazovanje,,40.6
2019.0,IT_USE_II99_DIV,Postotak,Y16T74,,Osnovno obrazovanje,,42.9
2020.0,IT_USE_II99_DIV,Postotak,Y16T74,,Osnovno obrazovanje,,46.8
2021.0,IT_USE_II99_DIV,Postotak,Y16T74,,Osnovno obrazovanje,,48.7
2022.0,IT_USE_II99_DIV,Postotak,Y16T74,,Osnovno obrazovanje,,49.4
2023.0,IT_USE_II99_DIV,Postotak,Y16T74,,Osnovno obrazovanje,,60.1
2017.0,IT_USE_II99_DIV,Postotak,Y16T74,,MID_SCH,,74.5
2018.0,IT_USE_II99_DIV,Postotak,Y16T74,,MID_SCH,,79.8
2019.0,IT_USE_II99_DIV,Postotak,Y16T74,,MID_SCH,,74.6
2020.0,IT_USE_II99_DIV,Postotak,Y16T74,,MID_SCH,,80.9
2021.0,IT_USE_II99_DIV,Postotak,Y16T74,,MID_SCH,,80.7
2022.0,IT_USE_II99_DIV,Postotak,Y16T74,,MID_SCH,,85.1
2023.0,IT_USE_II99_DIV,Postotak,Y16T74,,MID_SCH,,87.7
2017.0,IT_USE_II99_DIV,Postotak,Y16T74,,UNI_SCH,,94.6
2018.0,IT_USE_II99_DIV,Postotak,Y16T74,,UNI_SCH,,95.7
2019.0,IT_USE_II99_DIV,Postotak,Y16T74,,UNI_SCH,,95.0
2020.0,IT_USE_II99_DIV,Postotak,Y16T74,,UNI_SCH,,95.1
2021.0,IT_USE_II99_DIV,Postotak,Y16T74,,UNI_SCH,,91.5
2022.0,IT_USE_II99_DIV,Postotak,Y16T74,,UNI_SCH,,97.4
2023.0,IT_USE_II99_DIV,Postotak,Y16T74,,UNI_SCH,,98.1
,,,,,,,
,,,,,,,
,,,,,,,
