Year,SERIES,UNIT_MEASURE,Spol,COMPOSITE_BREAKDOWN,Stupanj urbanizacije,Godine,Value
2017.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_COMP,Ukupno,Y16T74,60.8
2018.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_COMP,Ukupno,Y16T74,64.8
2019.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_COMP,Ukupno,Y16T74,64.5
2020.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_COMP,Ukupno,Y16T74,68.7
2021.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_COMP,Ukupno,Y16T74,62.5
2022.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_COMP,Ukupno,Y16T74,67.1
2017.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,SKILL_COMP,Ukupno,Y16T74,63.0
2018.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,SKILL_COMP,Ukupno,Y16T74,68.2
2019.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,SKILL_COMP,Ukupno,Y16T74,64.4
2020.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,SKILL_COMP,Ukupno,Y16T74,73.5
2021.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,SKILL_COMP,Ukupno,Y16T74,66.9
2022.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,SKILL_COMP,Ukupno,Y16T74,70.7
2017.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,SKILL_COMP,Ukupno,Y16T74,58.3
2018.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,SKILL_COMP,Ukupno,Y16T74,62.6
2019.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,SKILL_COMP,Ukupno,Y16T74,64.7
2020.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,SKILL_COMP,Ukupno,Y16T74,65.2
2021.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,SKILL_COMP,Ukupno,Y16T74,58.7
2022.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,SKILL_COMP,Ukupno,Y16T74,63.9
2017.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_INTERNET,Ukupno,Svi dobni rasponi ili nema podjele po godinama,65.1
2018.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_INTERNET,Ukupno,Svi dobni rasponi ili nema podjele po godinama,69.7
2019.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_INTERNET,Ukupno,Svi dobni rasponi ili nema podjele po godinama,68.6
2020.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_INTERNET,Ukupno,Svi dobni rasponi ili nema podjele po godinama,73.4
2021.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_INTERNET,Ukupno,Svi dobni rasponi ili nema podjele po godinama,72.5
2022.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_INTERNET,Ukupno,Svi dobni rasponi ili nema podjele po godinama,77.1
2017.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,SKILL_INTERNET,Ukupno,Svi dobni rasponi ili nema podjele po godinama,66.8
2018.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,SKILL_INTERNET,Ukupno,Svi dobni rasponi ili nema podjele po godinama,72.1
2019.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,SKILL_INTERNET,Ukupno,Svi dobni rasponi ili nema podjele po godinama,72.0
2020.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,SKILL_INTERNET,Ukupno,Svi dobni rasponi ili nema podjele po godinama,79.7
2021.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,SKILL_INTERNET,Ukupno,Svi dobni rasponi ili nema podjele po godinama,74.8
2022.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,SKILL_INTERNET,Ukupno,Svi dobni rasponi ili nema podjele po godinama,79.5
2017.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,SKILL_INTERNET,Ukupno,Svi dobni rasponi ili nema podjele po godinama,63.1
2018.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,SKILL_INTERNET,Ukupno,Svi dobni rasponi ili nema podjele po godinama,68.1
2019.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,SKILL_INTERNET,Ukupno,Svi dobni rasponi ili nema podjele po godinama,66.1
2020.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,SKILL_INTERNET,Ukupno,Svi dobni rasponi ili nema podjele po godinama,68.9
2021.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,SKILL_INTERNET,Ukupno,Svi dobni rasponi ili nema podjele po godinama,70.6
2022.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,SKILL_INTERNET,Ukupno,Svi dobni rasponi ili nema podjele po godinama,74.9
2017.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_COMP,Ruralno,Svi dobni rasponi ili nema podjele po godinama,56.2
2018.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_COMP,Ruralno,Svi dobni rasponi ili nema podjele po godinama,61.2
2019.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_COMP,Ruralno,Svi dobni rasponi ili nema podjele po godinama,64.1
2020.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_COMP,Ruralno,Svi dobni rasponi ili nema podjele po godinama,67.2
2021.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_COMP,Ruralno,Svi dobni rasponi ili nema podjele po godinama,60.9
2022.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_COMP,Ruralno,Svi dobni rasponi ili nema podjele po godinama,64.6
2017.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_COMP,Urbano,Svi dobni rasponi ili nema podjele po godinama,66.8
2018.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_COMP,Urbano,Svi dobni rasponi ili nema podjele po godinama,68.5
2019.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_COMP,Urbano,Svi dobni rasponi ili nema podjele po godinama,65.1
2020.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_COMP,Urbano,Svi dobni rasponi ili nema podjele po godinama,70.7
2021.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_COMP,Urbano,Svi dobni rasponi ili nema podjele po godinama,64.4
2022.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_COMP,Urbano,Svi dobni rasponi ili nema podjele po godinama,70.2
2017.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_INTERNET,Ruralno,Svi dobni rasponi ili nema podjele po godinama,60.5
2018.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_INTERNET,Ruralno,Svi dobni rasponi ili nema podjele po godinama,65.0
2019.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_INTERNET,Ruralno,Svi dobni rasponi ili nema podjele po godinama,69.5
2020.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_INTERNET,Ruralno,Svi dobni rasponi ili nema podjele po godinama,71.3
2021.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_INTERNET,Ruralno,Svi dobni rasponi ili nema podjele po godinama,68.8
2022.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_INTERNET,Ruralno,Svi dobni rasponi ili nema podjele po godinama,75.3
2017.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_INTERNET,Urbano,Svi dobni rasponi ili nema podjele po godinama,71.0
2018.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_INTERNET,Urbano,Svi dobni rasponi ili nema podjele po godinama,74.6
2019.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_INTERNET,Urbano,Svi dobni rasponi ili nema podjele po godinama,67.6
2020.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_INTERNET,Urbano,Svi dobni rasponi ili nema podjele po godinama,76.2
2021.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_INTERNET,Urbano,Svi dobni rasponi ili nema podjele po godinama,76.9
2022.0,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,SKILL_INTERNET,Urbano,Svi dobni rasponi ili nema podjele po godinama,79.2
,,,,,,,
