Year,SERIES,UNIT_MEASURE,Spol,Godine,Value
2013.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Oba spola ili bez podjele po spolu,,27.6
2014.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Oba spola ili bez podjele po spolu,,28.4
2015.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Oba spola ili bez podjele po spolu,,29.1
2016.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Oba spola ili bez podjele po spolu,,25.6
2017.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Oba spola ili bez podjele po spolu,,20.0
2018.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Oba spola ili bez podjele po spolu,,19.2
2019.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Oba spola ili bez podjele po spolu,,18.4
2020.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Oba spola ili bez podjele po spolu,,17.5
2021.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Oba spola ili bez podjele po spolu,,18.9
2022.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Oba spola ili bez podjele po spolu,,17.2
2013.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Muškarci,,27.1
2014.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Muškarci,,25.7
2015.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Muškarci,,27.1
2016.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Muškarci,,22.9
2017.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Muškarci,,19.2
2018.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Muškarci,,17.8
2019.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Muškarci,,16.3
2020.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Muškarci,,14.7
2021.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Muškarci,,15.0
2022.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Muškarci,,14.1
2013.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Žene,,28.4
2014.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Žene,,32.7
2015.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Žene,,32.4
2016.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Žene,,30.1
2017.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Žene,,21.5
2018.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Žene,,21.5
2019.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Žene,,21.7
2020.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Žene,,22.3
2021.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Žene,,25.5
2022.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,Žene,,22.4
2013.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,15 do 24 godine,58.9
2014.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,15 do 24 godine,65.3
2015.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,15 do 24 godine,64.9
2016.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,15 do 24 godine,55.1
2017.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,15 do 24 godine,45.2
2018.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,15 do 24 godine,41.0
2019.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,15 do 24 godine,39.0
2020.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,15 do 24 godine,40.3
2021.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,15 do 24 godine,41.0
