Year,SERIES,UNIT_MEASURE,Privredna aktivnost,Value
2013.0,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio u BDP-u (%),Postotak,Proizvodnja,12.2
2014.0,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio u BDP-u (%),Postotak,Proizvodnja,12.1
2015.0,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio u BDP-u (%),Postotak,Proizvodnja,12.6
2016.0,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio u BDP-u (%),Postotak,Proizvodnja,13.2
2017.0,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio u BDP-u (%),Postotak,Proizvodnja,14.1
2018.0,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio u BDP-u (%),Postotak,Proizvodnja,14.1
2019.0,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio u BDP-u (%),Postotak,Proizvodnja,13.6
2020.0,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio u BDP-u (%),Postotak,Proizvodnja,14.1
2021.0,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio u BDP-u (%),Postotak,Proizvodnja,15.6
2022.0,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio u BDP-u (%),Postotak,Proizvodnja,15.9
2013.0,NV_IND_MANFBDP,Tisuće,Proizvodnja,951.6
2014.0,NV_IND_MANFBDP,Tisuće,Proizvodnja,973.4
2015.0,NV_IND_MANFBDP,Tisuće,Proizvodnja,1065.9
2016.0,NV_IND_MANFBDP,Tisuće,Proizvodnja,1172.2
2017.0,NV_IND_MANFBDP,Tisuće,Proizvodnja,1312.8
2018.0,NV_IND_MANFBDP,Tisuće,Proizvodnja,1415.6
2019.0,NV_IND_MANFBDP,Tisuće,Proizvodnja,1435.6
2020.0,NV_IND_MANFBDP,Tisuće,Proizvodnja,1440.8
2021.0,NV_IND_MANFBDP,Tisuće,Proizvodnja,1818.5
2022.0,NV_IND_MANFBDP,Tisuće,Proizvodnja,2165.5
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
