Year,Value,UNIT_MEASURE,SERIES
2013.0,0.21,Postotak,Rashodi za istraživanje i razvoj kao udio u BDP-u
2014.0,0.27,Postotak,Rashodi za istraživanje i razvoj kao udio u BDP-u
2015.0,0.2,Postotak,Rashodi za istraživanje i razvoj kao udio u BDP-u
2016.0,0.21,Postotak,Rashodi za istraživanje i razvoj kao udio u BDP-u
2017.0,0.19,Postotak,Rashodi za istraživanje i razvoj kao udio u BDP-u
2018.0,0.18,Postotak,Rashodi za istraživanje i razvoj kao udio u BDP-u
2019.0,0.21,Postotak,Rashodi za istraživanje i razvoj kao udio u BDP-u
2020.0,0.22,Postotak,Rashodi za istraživanje i razvoj kao udio u BDP-u
2021.0,0.19,Postotak,Rashodi za istraživanje i razvoj kao udio u BDP-u
2022.0,0.19,Postotak,Rashodi za istraživanje i razvoj kao udio u BDP-u
,,,
