Year,SERIES,UNIT_MEASURE,Степен урбанизације,Пол,Године,Value
2011,SI_POV_VELS,Проценат,,Мушкарци,,15.7
2015,SI_POV_VELS,Проценат,,Мушкарци,,16.0
2011,SI_POV_VELS,Проценат,,Жене,,17.0
2015,SI_POV_VELS,Проценат,,Жене,,16.2
2011,SI_POV_VELA,Проценат,,,млађи од 35 година,12.3
2011,SI_POV_VELA,Проценат,,,Y36T45,21.6
2011,SI_POV_VELA,Проценат,,,Y45T55,16.8
2011,SI_POV_VELA,Проценат,,,Y56T65,15.9
2011,SI_POV_VELA,Проценат,,,Y_GE65,24.1
2015,SI_POV_VELA,Проценат,,,млађи од 35 година,10.6
2015,SI_POV_VELA,Проценат,,,Y36T45,18.7
2015,SI_POV_VELA,Проценат,,,Y45T55,17.5
2015,SI_POV_VELA,Проценат,,,Y56T65,16.8
2015,SI_POV_VELA,Проценат,,,Y_GE65,22.4
2011,SI_POV_SETT,Проценат,Рурално,,,8.9
2015,SI_POV_SETT,Проценат,Рурално,,,11.0
2011,SI_POV_SETT,Проценат,O,,,21.9
2015,SI_POV_SETT,Проценат,O,,,20.3
