Year,SERIES,Године,Пол,UNIT_MEASURE,Value
2012.0,Удио незапослених који примају новчану накнаду за незапослене,,,Проценат,"2,5"
2013.0,Удио незапослених који примају новчану накнаду за незапослене,,,Проценат,"2,6"
2014.0,Удио незапослених који примају новчану накнаду за незапослене,,,Проценат,"2,5"
2015.0,Удио незапослених који примају новчану накнаду за незапослене,,,Проценат,"2,7"
2016.0,Удио незапослених који примају новчану накнаду за незапослене,,,Проценат,"2,9"
2017.0,Удио незапослених који примају новчану накнаду за незапослене,,,Проценат,"3,2"
2018.0,Удио незапослених који примају новчану накнаду за незапослене,,,Проценат,"3,1"
2019.0,Удио незапослених који примају новчану накнаду за незапослене,,,Проценат,"3,6"
2020.0,Удио незапослених који примају новчану накнаду за незапослене,,,Проценат,"4,3"
2021.0,Удио незапослених који примају новчану накнаду за незапослене,,,Проценат,"3,3"
2022.0,Удио незапослених који примају новчану накнаду за незапослене,,,Проценат,"3,6"
2013.0,Удио становништва обухваћеног програмима социјалне помоћи,,,Проценат,"4,9"
2014.0,Удио становништва обухваћеног програмима социјалне помоћи,,,Проценат,"5,0"
2015.0,Удио становништва обухваћеног програмима социјалне помоћи,,,Проценат,"4,9"
2016.0,Удио становништва обухваћеног програмима социјалне помоћи,,,Проценат,"5,1"
2017.0,Удио становништва обухваћеног програмима социјалне помоћи,,,Проценат,"4,9"
2018.0,Удио становништва обухваћеног програмима социјалне помоћи,,,Проценат,"4,8"
2019.0,Удио становништва обухваћеног програмима социјалне помоћи,,,Проценат,"4,7"
2020.0,Удио становништва обухваћеног програмима социјалне помоћи,,,Проценат,"4,7"
2021.0,Удио становништва обухваћеног програмима социјалне помоћи,,,Проценат,"4,6"
2013.0,,Испод 18 година,Мушкарци,,39.724
2014.0,,Испод 18 година,Мушкарци,,41.589
2015.0,,Испод 18 година,Мушкарци,,40.910
2016.0,,Испод 18 година,Мушкарци,,42.879
2017.0,,Испод 18 година,Мушкарци,,41.978
2018.0,,Испод 18 година,Мушкарци,,42.632
2019.0,,Испод 18 година,Мушкарци,,41.905
2020.0,,Испод 18 година,Мушкарци,,41.242
2021.0,,Испод 18 година,Мушкарци,,38.859
2013.0,,18 година и више,Мушкарци,,34.816
2014.0,,18 година и више,Мушкарци,,37.123
2015.0,,18 година и више,Мушкарци,,35.725
2016.0,,18 година и више,Мушкарци,,35.626
2017.0,,18 година и више,Мушкарци,,35.140
2018.0,,18 година и више,Мушкарци,,36.268
2019.0,,18 година и више,Мушкарци,,35.827
2020.0,,18 година и више,Мушкарци,,35.440
2021.0,,18 година и више,Мушкарци,,34.416
2013.0,,Испод 18 година,Жене,,114.513
2014.0,,Испод 18 година,Жене,,121.558
2015.0,,Испод 18 година,Жене,,119.050
2016.0,,Испод 18 година,Жене,,123.733
2017.0,,Испод 18 година,Жене,,130.066
2018.0,,Испод 18 година,Жене,,135.600
2019.0,,Испод 18 година,Жене,,135.695
2020.0,,Испод 18 година,Жене,,137.063
2021.0,,Испод 18 година,Жене,,138.055
2013.0,,18 година и више,Жене,,119.813
2014.0,,18 година и више,Жене,,132.081
2015.0,,18 година и више,Жене,,124.415
2016.0,,18 година и више,Жене,,133.755
2017.0,,18 година и више,Жене,,122.188
2018.0,,18 година и више,Жене,,127.329
2019.0,,18 година и више,Жене,,123.576
2020.0,,18 година и више,Жене,,135.778
2021.0,,18 година и више,Жене,,133.000
,,,,,
