Year,SERIES,UNIT_MEASURE,BURDEN,HOUSEHOLD,Степен урбанизације,SERVICES,ACCESS,Value
2011,Удио становништва који користи основне услуге питке воде,Проценат,,,Укупно,,,98.8
2015,Удио становништва који користи основне услуге питке воде,Проценат,,,Укупно,,,99.7
2021/22,Удио становништва који користи основне услуге питке воде,Проценат,,,Укупно,,,99.8
2011,Удио становништва који користи основне услуге питке воде,Проценат,,,Урбано,,,99.3
2015,Удио становништва који користи основне услуге питке воде,Проценат,,,Урбано,,,99.9
2021/22,Удио становништва који користи основне услуге питке воде,Проценат,,,Урбано,,,100.0
2011,Удио становништва који користи основне услуге питке воде,Проценат,,,O,,,98.3
2015,Удио становништва који користи основне услуге питке воде,Проценат,,,O,,,99.6
2021/22,Удио становништва који користи основне услуге питке воде,Проценат,,,O,,,99.6
2011,SP_ACS_COST,Проценат,HIGH_B,,,,,2.1
2015,SP_ACS_COST,Проценат,HIGH_B,,,,,7.4
2021/22,SP_ACS_COST,Проценат,HIGH_B,,,,,15.2
2011,SP_ACS_COST,Проценат,CERTAIN_B,,,,,56.5
2015,SP_ACS_COST,Проценат,CERTAIN_B,,,,,53.9
2021/22,SP_ACS_COST,Проценат,CERTAIN_B,,,,,45.7
2011,SP_ACS_COST,Проценат,NO_B,,,,,40.6
2015,SP_ACS_COST,Проценат,NO_B,,,,,38.7
2021/22,SP_ACS_COST,Проценат,NO_B,,,,,39.0
2011,SP_ACS_HEAT,Проценат,,,,,,16.7
2015,SP_ACS_HEAT,Проценат,,,,,,11.1
2021/22,SP_ACS_HEAT,Проценат,,,,,,9.2
2011,SP_ACS_HOUSE,Проценат,,LIGHT_P,,,,7.5
2015,SP_ACS_HOUSE,Проценат,,LIGHT_P,,,,5.6
2021/22,SP_ACS_HOUSE,Проценат,,LIGHT_P,,,,3.1
2011,SP_ACS_HOUSE,Проценат,,HEAT_P,,,,16.7
2015,SP_ACS_HOUSE,Проценат,,HEAT_P,,,,11.1
2021/22,SP_ACS_HOUSE,Проценат,,HEAT_P,,,,9.2
2011,SP_ACS_HOUSE,Проценат,,ROT_P,,,,14.3
2015,SP_ACS_HOUSE,Проценат,,ROT_P,,,,12.5
2021/22,SP_ACS_HOUSE,Проценат,,ROT_P,,,,3.7
2011,SP_ACS_HOUSE,Проценат,,HUMID_P,,,,16.7
2015,SP_ACS_HOUSE,Проценат,,HUMID_P,,,,14.3
2021/22,SP_ACS_HOUSE,Проценат,,HUMID_P,,,,6.5
2011,SP_ACS_HOUSE,Проценат,,RAIN_P,,,,9.0
2015,SP_ACS_HOUSE,Проценат,,RAIN_P,,,,7.1
2021/22,SP_ACS_HOUSE,Проценат,,RAIN_P,,,,2.3
2011,SP_ACS_SERV,,,,,GROCERY_S,DIFFICULT,15.4
2015,SP_ACS_SERV,,,,,GROCERY_S,DIFFICULT,17.3
2021/22,SP_ACS_SERV,,,,,GROCERY_S,DIFFICULT,13.3
2011,SP_ACS_SERV,,,,,GROCERY_S,EASY,84.4
2015,SP_ACS_SERV,,,,,GROCERY_S,EASY,82.5
2021/22,SP_ACS_SERV,,,,,GROCERY_S,EASY,86.5
2011,SP_ACS_SERV,,,,,GROCERY_S,NOT_USED,0.2
2015,SP_ACS_SERV,,,,,GROCERY_S,NOT_USED,0.0
2021/22,SP_ACS_SERV,,,,,GROCERY_S,NOT_USED,0.2
2011,SP_ACS_SERV,,,,,BANKING_S,DIFFICULT,35.8
2015,SP_ACS_SERV,,,,,BANKING_S,DIFFICULT,36.6
