Year,SERIES,UNIT_MEASURE,SORT,Value
2011,EN_LND_HOUSE,Проценат,ROTT_W,8.6
2015,EN_LND_HOUSE,Проценат,ROTT_W,7.0
2021/22,EN_LND_HOUSE,Проценат,ROTT_W,3.7
2011,EN_LND_HOUSE,Проценат,DAMP,8.1
2015,EN_LND_HOUSE,Проценат,DAMP,5.9
2021/22,EN_LND_HOUSE,Проценат,DAMP,6.5
2011,EN_LND_HOUSE,Проценат,LEAK_R,7.9
2015,EN_LND_HOUSE,Проценат,LEAK_R,5.3
2021/22,EN_LND_HOUSE,Проценат,LEAK_R,2.3
2011,EN_LND_HOUSE,Проценат,NOISE,7.6
2015,EN_LND_HOUSE,Проценат,NOISE,7.5
2021/22,EN_LND_HOUSE,Проценат,NOISE,3.8
,,,,
