Year,SERIES,UNIT_MEASURE,SORT,Пол,Value
2020.0,VC_HTF_OFF,Број,OFF_TOT,,10.0
2021.0,VC_HTF_OFF,Број,OFF_TOT,,1.0
2022.0,VC_HTF_OFF,Број,OFF_TOT,,3.0
2023.0,VC_HTF_OFF,Број,OFF_TOT,,1.0
2020.0,VC_HTF_OFF,Број,HUM_TRAF,,1.0
2021.0,VC_HTF_OFF,Број,HUM_TRAF,,1.0
2022.0,VC_HTF_OFF,Број,HUM_TRAF,,3.0
2023.0,VC_HTF_OFF,Број,HUM_TRAF,,1.0
2020.0,VC_HTF_OFF,Број,ORG_HUM_TRAF,,9.0
2021.0,VC_HTF_OFF,Број,ORG_HUM_TRAF,,0.0
2022.0,VC_HTF_OFF,Број,ORG_HUM_TRAF,,0.0
2023.0,VC_HTF_OFF,Број,ORG_HUM_TRAF,,0.0
2020.0,VC_HTF_OFF,Број,TOT_VICTIM,,6.0
2021.0,VC_HTF_OFF,Број,TOT_VICTIM,,0.0
2022.0,VC_HTF_OFF,Број,TOT_VICTIM,,0.0
2023.0,VC_HTF_OFF,Број,TOT_VICTIM,,1.0
2020.0,VC_HTF_OFF,Број,TOT_VICTIM,Мушкарци,3.0
2021.0,VC_HTF_OFF,Број,TOT_VICTIM,Мушкарци,0.0
2022.0,VC_HTF_OFF,Број,TOT_VICTIM,Мушкарци,0.0
2023.0,VC_HTF_OFF,Број,TOT_VICTIM,Мушкарци,0.0
2020.0,VC_HTF_OFF,Број,TOT_VICTIM,Жене,3.0
2021.0,VC_HTF_OFF,Број,TOT_VICTIM,Жене,0.0
2022.0,VC_HTF_OFF,Број,TOT_VICTIM,Жене,0.0
2023.0,VC_HTF_OFF,Број,TOT_VICTIM,Жене,1.0
,,,,,
,,,,,
