Year,SERIES,UNIT_MEASURE,COUNTRY,Value
2013.0,TX_EXP_PERCOUNT,Проценат,C_GER,18.8
2013.0,TX_EXP_PERCOUNT,Проценат,C_CRO,14.7
2013.0,TX_EXP_PERCOUNT,Проценат,C_ITA,10.6
2013.0,TX_EXP_PERCOUNT,Проценат,C_AUT,8.3
2013.0,TX_EXP_PERCOUNT,Проценат,C_SLO,7.9
2013.0,TX_EXP_PERCOUNT,Проценат,C_SRB,5.9
2013.0,TX_EXP_PERCOUNT,Проценат,C_MNE,2.7
2013.0,TX_EXP_PERCOUNT,Проценат,C_CZE,2.2
2013.0,TX_EXP_PERCOUNT,Проценат,C_TUR,2.1
2013.0,TX_EXP_PERCOUNT,Проценат,C_KOS,1.9
2013.0,TX_EXP_PERCOUNT,Проценат,OTH,25.0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
2020.0,Удео земаља у развоју и најмање развијених земаља у глобалном увозу услуга (%),Проценат,,0.01065
2021.0,Удео земаља у развоју и најмање развијених земаља у глобалном увозу услуга (%),Проценат,,0.01232
