Year,SERIES,UNIT_MEASURE,Value
2013,Удио порода уз присуство квалификованих здравствених радника,Проценат,99.99
2014,Удио порода уз присуство квалификованих здравствених радника,Проценат,99.99
2015,Удио порода уз присуство квалификованих здравствених радника,Проценат,99.97
2016,Удио порода уз присуство квалификованих здравствених радника,Проценат,99.97
2017,Удио порода уз присуство квалификованих здравствених радника,Проценат,99.96
2018,Удио порода уз присуство квалификованих здравствених радника,Проценат,99.94
2019,Удио порода уз присуство квалификованих здравствених радника,Проценат,99.95
2020,Удио порода уз присуство квалификованих здравствених радника,Проценат,99.95
2021,Удио порода уз присуство квалификованих здравствених радника,Проценат,99.95
2022,Удио порода уз присуство квалификованих здравствених радника,Проценат,99.95
