Year,SERIES,UNIT_MEASURE,Године,Пол,Value
2013,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,5.6
2014,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,4.2
2015,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,6.3
2016,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,6.1
2017,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,6.5
2018,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,6.3
2019,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,6.7
2020,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,4.9
2021,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,4.9
2022,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,5.3
2013,SH_DYN_MRT,,,Оба пола или без подјеле по полу,76.24
2014,SH_DYN_MRT,,,Оба пола или без подјеле по полу,76.68
2015,SH_DYN_MRT,,,Оба пола или без подјеле по полу,76.2
2016,SH_DYN_MRT,,,Оба пола или без подјеле по полу,76.74
2017,SH_DYN_MRT,,,Оба пола или без подјеле по полу,76.76
2018,SH_DYN_MRT,,,Оба пола или без подјеле по полу,77.25
2019,SH_DYN_MRT,,,Оба пола или без подјеле по полу,77.13
2020,SH_DYN_MRT,,,Оба пола или без подјеле по полу,75.75
2021,SH_DYN_MRT,,,Оба пола или без подјеле по полу,74.78
2013,SH_DYN_MRT,,,Мушкарци,73.9
2014,SH_DYN_MRT,,,Мушкарци,74.36
2015,SH_DYN_MRT,,,Мушкарци,73.97
2016,SH_DYN_MRT,,,Мушкарци,74.57
2017,SH_DYN_MRT,,,Мушкарци,74.5
2018,SH_DYN_MRT,,,Мушкарци,75.14
2019,SH_DYN_MRT,,,Мушкарци,74.93
2020,SH_DYN_MRT,,,Мушкарци,73.15
2021,SH_DYN_MRT,,,Мушкарци,72.38
2013,SH_DYN_MRT,,,Жене,78.48
2014,SH_DYN_MRT,,,Жене,78.89
2015,SH_DYN_MRT,,,Жене,78.34
2016,SH_DYN_MRT,,,Жене,78.83
2017,SH_DYN_MRT,,,Жене,78.94
2018,SH_DYN_MRT,,,Жене,79.27
2019,SH_DYN_MRT,,,Жене,79.25
2020,SH_DYN_MRT,,,Жене,78.35
2021,SH_DYN_MRT,,,Жене,77.18
