Year,SERIES,UNIT_MEASURE,Пол,Године,Ниво образовања,Value
2013.0,POP_EDU,Проценат,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,NO_EDU,4.4
2013.0,POP_EDU,Проценат,Мушкарци,Сви старосни распони или нема подјеле по годинама,NO_EDU,1.5
2013.0,POP_EDU,Проценат,Жене,Сви старосни распони или нема подјеле по годинама,NO_EDU,7.2
2013.0,POP_EDU,Проценат,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,INC_PRIM_EDU,9.0
2013.0,POP_EDU,Проценат,Мушкарци,Сви старосни распони или нема подјеле по годинама,INC_PRIM_EDU,5.1
2013.0,POP_EDU,Проценат,Жене,Сви старосни распони или нема подјеле по годинама,INC_PRIM_EDU,12.7
2013.0,POP_EDU,Проценат,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,Основно образовање,21.5
2013.0,POP_EDU,Проценат,Мушкарци,Сви старосни распони или нема подјеле по годинама,Основно образовање,18.4
2013.0,POP_EDU,Проценат,Жене,Сви старосни распони или нема подјеле по годинама,Основно образовање,24.6
2013.0,POP_EDU,Проценат,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,MID_SCH,51.1
2013.0,POP_EDU,Проценат,Мушкарци,Сви старосни распони или нема подјеле по годинама,MID_SCH,60.5
2013.0,POP_EDU,Проценат,Жене,Сви старосни распони или нема подјеле по годинама,MID_SCH,42.3
2013.0,POP_EDU,Проценат,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,UNI_SCH,10.1
2013.0,POP_EDU,Проценат,Мушкарци,Сви старосни распони или нема подјеле по годинама,UNI_SCH,9.9
2013.0,POP_EDU,Проценат,Жене,Сви старосни распони или нема подјеле по годинама,UNI_SCH,10.3
2013.0,POP_EDU,Проценат,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,SPEC_HIGH,0.7
2013.0,POP_EDU,Проценат,Мушкарци,Сви старосни распони или нема подјеле по годинама,SPEC_HIGH,1.2
2013.0,POP_EDU,Проценат,Жене,Сви старосни распони или нема подјеле по годинама,SPEC_HIGH,0.2
2013.0,POP_EDU,Проценат,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,HIGH_SCH,3.0
2013.0,POP_EDU,Проценат,Мушкарци,Сви старосни распони или нема подјеле по годинама,HIGH_SCH,3.4
2013.0,POP_EDU,Проценат,Жене,Сви старосни распони или нема подјеле по годинама,HIGH_SCH,2.7
2013.0,POP_HIGH_EDU,Проценат,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,,10.8
2013.0,POP_HIGH_EDU,Проценат,Мушкарци,Сви старосни распони или нема подјеле по годинама,,10.6
2013.0,POP_HIGH_EDU,Проценат,Жене,Сви старосни распони или нема подјеле по годинама,,11.0
2013.0,POP_HIGH_EDU,Проценат,Оба пола или без подјеле по полу,Y20T29,,20.0
2013.0,POP_HIGH_EDU,Проценат,Мушкарци,Y20T29,,15.0
2013.0,POP_HIGH_EDU,Проценат,Жене,Y20T29,,25.2
2013.0,POP_HIGH_EDU,Проценат,Оба пола или без подјеле по полу,Y30T39,,16.5
2013.0,POP_HIGH_EDU,Проценат,Мушкарци,Y30T39,,14.0
2013.0,POP_HIGH_EDU,Проценат,Жене,Y30T39,,19.1
2013.0,POP_HIGH_EDU,Проценат,Оба пола или без подјеле по полу,Y40T49,,9.1
2013.0,POP_HIGH_EDU,Проценат,Мушкарци,Y40T49,,9.1
2013.0,POP_HIGH_EDU,Проценат,Жене,Y40T49,,9.1
2013.0,POP_HIGH_EDU,Проценат,Оба пола или без подјеле по полу,Y50T59,,9.2
2013.0,POP_HIGH_EDU,Проценат,Мушкарци,Y50T59,,10.8
2013.0,POP_HIGH_EDU,Проценат,Жене,Y50T59,,7.6
2013.0,POP_HIGH_EDU,Проценат,Оба пола или без подјеле по полу,Y60T69,,5.0
2013.0,POP_HIGH_EDU,Проценат,Мушкарци,Y60T69,,6.6
2013.0,POP_HIGH_EDU,Проценат,Жене,Y60T69,,3.5
2013.0,POP_HIGH_EDU,Проценат,Оба пола или без подјеле по полу,Y_GE70,,3.8
2013.0,POP_HIGH_EDU,Проценат,Мушкарци,Y_GE70,,6.5
2013.0,POP_HIGH_EDU,Проценат,Жене,Y_GE70,,1.9
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
