Year,SERIES,UNIT_MEASURE,Пол,COMPOSITE_BREAKDOWN,Ниво образовања,Степен урбанизације,Године,Value
2017.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,SKILL_COMP,,,Y16T74,60.8
2018.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,SKILL_COMP,,,Y16T74,64.8
2019.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,SKILL_COMP,,,Y16T74,64.5
2020.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,SKILL_COMP,,,Y16T74,68.7
2021.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,SKILL_COMP,,,Y16T74,62.5
2022.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,SKILL_COMP,,,Y16T74,67.1
2017.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,SKILL_COMP,,,Y16T74,63.0
2018.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,SKILL_COMP,,,Y16T74,68.2
2019.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,SKILL_COMP,,,Y16T74,64.4
2020.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,SKILL_COMP,,,Y16T74,73.5
2021.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,SKILL_COMP,,,Y16T74,66.9
2022.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,SKILL_COMP,,,Y16T74,70.7
2017.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,SKILL_COMP,,,Y16T74,58.3
2018.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,SKILL_COMP,,,Y16T74,62.6
2019.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,SKILL_COMP,,,Y16T74,64.7
2020.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,SKILL_COMP,,,Y16T74,65.2
2021.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,SKILL_COMP,,,Y16T74,58.7
2022.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,SKILL_COMP,,,Y16T74,63.9
2017.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,SKILL_INTERNET,,,,65.1
2018.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,SKILL_INTERNET,,,,69.7
2019.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,SKILL_INTERNET,,,,68.6
2020.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,SKILL_INTERNET,,,,73.4
2021.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,SKILL_INTERNET,,,,72.5
2022.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,SKILL_INTERNET,,,,77.1
2017.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,SKILL_INTERNET,,,,66.8
2018.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,SKILL_INTERNET,,,,72.1
2019.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,SKILL_INTERNET,,,,72.0
2020.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,SKILL_INTERNET,,,,79.7
2021.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,SKILL_INTERNET,,,,74.8
2022.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,SKILL_INTERNET,,,,79.5
2017.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,SKILL_INTERNET,,,,63.1
2018.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,SKILL_INTERNET,,,,68.1
2019.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,SKILL_INTERNET,,,,66.1
2020.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,SKILL_INTERNET,,,,68.9
2021.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,SKILL_INTERNET,,,,70.6
2022.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,SKILL_INTERNET,,,,74.9
2017.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,,Рурално,,56.2
2018.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,,Рурално,,61.2
2019.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,,Рурално,,64.1
2020.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,,Рурално,,67.2
2021.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,,Рурално,,60.9
2022.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,,Рурално,,64.6
2017.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,,Урбано,,66.8
2018.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,,Урбано,,68.5
2019.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,,Урбано,,65.1
2020.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,,Урбано,,70.7
2021.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,,Урбано,,64.4
2022.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,,Урбано,,70.2
2017.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,,Рурално,,60.5
2018.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,,Рурално,,65.0
2019.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,,Рурално,,69.5
2020.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,,Рурално,,71.3
2021.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,,Рурално,,68.8
2022.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,,Рурално,,75.3
2017.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,,Урбано,,71.0
2018.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,,Урбано,,74.6
2019.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,,Урбано,,67.6
2020.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,,Урбано,,76.2
2021.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,,Урбано,,76.9
2022.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,,Урбано,,79.2
2017.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,Основно образовање,,,29.9
2018.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,Основно образовање,,,32.1
2019.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,Основно образовање,,,40.2
2020.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,Основно образовање,,,40.8
2021.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,Основно образовање,,,33.6
2022.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,Основно образовање,,,39.6
2017.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,MID_SCH,,,70.8
2018.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,MID_SCH,,,76.3
2019.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,MID_SCH,,,68.6
2020.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,MID_SCH,,,76.1
2021.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,MID_SCH,,,70.8
2022.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,MID_SCH,,,73.3
2017.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,UNI_SCH,,,93.2
2018.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,UNI_SCH,,,92.9
2019.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,UNI_SCH,,,97.1
2020.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,UNI_SCH,,,93.6
2021.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,UNI_SCH,,,93.7
2022.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_COMP,UNI_SCH,,,96.6
2017.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,Основно образовање,,,36.3
2018.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,Основно образовање,,,40.6
2019.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,Основно образовање,,,42.9
2020.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,Основно образовање,,,46.8
2021.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,Основно образовање,,,48.7
2022.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,Основно образовање,,,49.4
2017.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,MID_SCH,,,74.5
2018.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,MID_SCH,,,79.8
2019.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,MID_SCH,,,74.6
2020.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,MID_SCH,,,80.9
2021.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,MID_SCH,,,80.7
2022.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,MID_SCH,,,85.1
2017.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,UNI_SCH,,,94.6
2018.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,UNI_SCH,,,95.7
2019.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,UNI_SCH,,,95.0
2020.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,UNI_SCH,,,95.1
2021.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,UNI_SCH,,,91.5
2022.0,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,,SKILL_INTERNET,UNI_SCH,,,97.4
,,,,,,,,
