Year,UNIT_MEASURE,SERIES,Године,Пол,Value
2013.0,Проценат,DIFF_IN_EMPLOY,Y20T64,,22.6
2014.0,Проценат,DIFF_IN_EMPLOY,Y20T64,,24.3
2015.0,Проценат,DIFF_IN_EMPLOY,Y20T64,,22.1
2016.0,Проценат,DIFF_IN_EMPLOY,Y20T64,,25.3
2017.0,Проценат,DIFF_IN_EMPLOY,Y20T64,,23.6
2018.0,Проценат,DIFF_IN_EMPLOY,Y20T64,,25.3
2019.0,Проценат,DIFF_IN_EMPLOY,Y20T64,,24.9
2020.0,Проценат,DIFF_IN_EMPLOY,Y20T64,,29.9
2021.0,Проценат,DIFF_IN_EMPLOY,Y20T64,,31.3
2022.0,Проценат,DIFF_IN_EMPLOY,Y20T64,,30.4
2020.0,Проценат,DIFF_IN_PAY,,Мушкарци,938.0
2021.0,Проценат,DIFF_IN_PAY,,Мушкарци,1001.0
2020.0,Проценат,DIFF_IN_PAY,,Жене,938.0
2021.0,Проценат,DIFF_IN_PAY,,Жене,985.0
,,,,,
